Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Montfoort;6;43,1;6;43,1;0;0;Montfoort;0;0;0;0;0;0;Montfoort;6;43,1;6;43,1;0;0
Mook en Middelaar;6;76,5;1;12,7;0;0;Mook en Middelaar;0;0;0;0;0;0;Mook en Middelaar;6;76,5;1;12,7;0;0
Neder-Betuwe;10;41,1;10;41,1;1;4,1;Neder-Betuwe;4;16,4;3;12,3;0;0;Neder-Betuwe;6;24,7;7;28,8;1;4,1
Nederweert;19;111,6;14;82,3;1;5,9;Nederweert;7;41,1;4;23,5;0;0;Nederweert;12;70,5;10;58,8;1;5,9
Nieuwegein;14;22,1;8;12,6;0;0;Nieuwegein;4;6,3;3;4,7;0;0;Nieuwegein;10;15,8;5;7,9;0;0
Nieuwkoop;6;20,8;2;6,9;0;0;Nieuwkoop;1;3,5;0;0;0;0;Nieuwkoop;5;17,3;2;6,9;0;0
Nijkerk;9;20,8;5;11,6;1;2,3;Nijkerk;2;4,6;1;2,3;0;0;Nijkerk;7;16,2;4;9,3;1;2,3
Nijmegen;117;65,9;35;19,7;4;2,3;Nijmegen;54;30,4;13;7,3;0;0;Nijmegen;63;35,5;22;12,4;4;2,3
Nissewaard;21;24,6;11;12,9;4;4,7;Nissewaard;7;8,2;7;8,2;0;0;Nissewaard;14;16,4;4;4,7;4;4,7
Noardeast-FryslÃ¢n;3;6,6;3;6,6;0;0;Noardeast-Fryslân;0;0;1;2,2;0;0;Noardeast-Fryslân;3;6,6;2;4,4;0;0
Noord-Beveland;1;13,5;0;0;0;0;Noord-Beveland;1;13,5;0;0;0;0;Noord-Beveland;0;0;0;0;0;0
Noordenveld;1;3,2;1;3,2;1;3,2;Noordenveld;1;3,2;1;3,2;1;3,2;Noordenveld;0;0;0;0;0;0
Noordoostpolder;5;10,6;5;10,6;1;2,1;Noordoostpolder;2;4,2;0;0;0;0;Noordoostpolder;3;6,4;5;10,6;1;2,1
Noordwijk;6;13,8;6;13,8;0;0;Noordwijk;3;6,9;2;4,6;0;0;Noordwijk;3;6,9;4;9,2;0;0
Nuenen, Gerwen en Nederwetten;10;42,8;7;29,9;2;8,6;Nuenen, Gerwen en Nederwetten;2;8,6;2;8,6;0;0;Nuenen, Gerwen en Nederwetten;8;34,2;5;21,3;2;8,6
Nunspeet;30;107,7;21;75,4;2;7,2;Nunspeet;5;18;4;14,4;1;3,6;Nunspeet;25;89,7;17;61;1;3,6
Oegstgeest;10;40,3;2;8,1;0;0;Oegstgeest;3;12,1;2;8,1;0;0;Oegstgeest;7;28,2;0;0;0;0
Oirschot;8;42,7;5;26,7;0;0;Oirschot;1;5,3;1;5,3;0;0;Oirschot;7;37,4;4;21,4;0;0
Oisterwijk;16;61;9;34,3;1;3,8;Oisterwijk;10;38,1;3;11,4;0;0;Oisterwijk;6;22,9;6;22,9;1;3,8
Oldambt;0;0;0;0;0;0;Oldambt;0;0;0;0;0;0;Oldambt;0;0;0;0;0;0
Oldebroek;13;55;10;42,3;2;8,5;Oldebroek;4;16,9;2;8,5;0;0;Oldebroek;9;38,1;8;33,8;2;8,5
Oldenzaal;13;40,8;4;12,6;2;6,3;Oldenzaal;3;9,4;1;3,1;0;0;Oldenzaal;10;31,4;3;9,5;2;6,3
Olst-Wijhe;6;32,9;3;16,4;1;5,5;Olst-Wijhe;0;0;0;0;0;0;Olst-Wijhe;6;32,9;3;16,4;1;5,5
Ommen;7;38,9;2;11,1;0;0;Ommen;3;16,7;1;5,6;0;0;Ommen;4;22,2;1;5,5;0;0
Oost Gelre;5;16,9;2;6,8;0;0;Oost Gelre;0;0;1;3,4;0;0;Oost Gelre;5;16,9;1;3,4;0;0
Oosterhout;24;42,9;13;23,2;1;1,8;Oosterhout;10;17,9;5;8,9;0;0;Oosterhout;14;25;8;14,3;1;1,8
Ooststellingwerf;1;3,9;2;7,9;0;0;Ooststellingwerf;0;0;0;0;0;0;Ooststellingwerf;1;3,9;2;7,9;0;0
Oostzaan;6;61,6;1;10,3;0;0;Oostzaan;2;20,5;0;0;0;0;Oostzaan;4;41,1;1;10,3;0;0
Opmeer;0;0;1;8,4;0;0;Opmeer;0;0;0;0;0;0;Opmeer;0;0;1;8,4;0;0
Opsterland;2;6,7;1;3,4;0;0;Opsterland;2;6,7;0;0;0;0;Opsterland;0;0;1;3,4;0;0
Oss;101;109,9;59;64,2;9;9,8;Oss;19;20,7;9;9,8;0;0;Oss;82;89,2;50;54,4;9;9,8
Oude IJsselstreek;4;10,2;4;10,2;0;0;Oude IJsselstreek;2;5,1;2;5,1;0;0;Oude IJsselstreek;2;5,1;2;5,1;0;0
Ouder-Amstel;9;64,2;2;14,3;0;0;Ouder-Amstel;3;21,4;1;7,1;0;0;Ouder-Amstel;6;42,8;1;7,2;0;0
Oudewater;11;107,5;13;127,1;1;9,8;Oudewater;1;9,8;1;9,8;0;0;Oudewater;10;97,7;12;117,3;1;9,8
Overbetuwe;40;83,5;25;52,2;3;6,3;Overbetuwe;10;20,9;10;20,9;0;0;Overbetuwe;30;62,6;15;31,3;3;6,3
Papendrecht;6;18,7;1;3,1;0;0;Papendrecht;1;3,1;0;0;0;0;Papendrecht;5;15,6;1;3,1;0;0
Peel en Maas;97;223,4;71;163,5;17;39,1;Peel en Maas;36;82,9;25;57,6;0;0;Peel en Maas;61;140,5;46;105,9;17;39,1
Pekela;2;16,4;1;8,2;0;0;Pekela;1;8,2;1;8,2;0;0;Pekela;1;8,2;0;0;0;0
Pijnacker-Nootdorp;12;21,7;7;12,7;0;0;Pijnacker-Nootdorp;10;18,1;2;3,6;0;0;Pijnacker-Nootdorp;2;3,6;5;9,1;0;0
Purmerend;37;45,5;22;27,1;1;1,2;Purmerend;6;7,4;6;7,4;0;0;Purmerend;31;38,1;16;19,7;1;1,2
Putten;5;20,7;3;12,4;0;0;Putten;2;8,3;1;4,1;0;0;Putten;3;12,4;2;8,3;0;0
Raalte;10;26,5;9;23,9;0;0;Raalte;3;8;2;5,3;0;0;Raalte;7;18,5;7;18,6;0;0
Reimerswaal;6;26,4;2;8,8;1;4,4;Reimerswaal;3;13,2;3;13,2;0;0;Reimerswaal;3;13,2;-1;-4,4;1;4,4
Renkum;6;19,1;4;12,7;0;0;Renkum;8;25,5;2;6,4;0;0;Renkum;-2;-6,4;2;6,3;0;0
Renswoude;0;0;1;18,4;0;0;Renswoude;0;0;0;0;0;0;Renswoude;0;0;1;18,4;0;0
Reusel-De Mierden;5;38,1;3;22,9;0;0;Reusel-De Mierden;1;7,6;2;15,3;0;0;Reusel-De Mierden;4;30,5;1;7,6;0;0
Rheden;16;36,6;11;25,1;1;2,3;Rheden;4;9,1;2;4,6;0;0;Rheden;12;27,5;9;20,5;1;2,3
Rhenen;2;9,9;0;0;0;0;Rhenen;0;0;0;0;0;0;Rhenen;2;9,9;0;0;0;0
Ridderkerk;8;17,3;9;19,5;1;2,2;Ridderkerk;0;0;1;2,2;0;0;Ridderkerk;8;17,3;8;17,3;1;2,2
Rijssen-Holten;9;23,6;2;5,2;0;0;Rijssen-Holten;0;0;0;0;0;0;Rijssen-Holten;9;23,6;2;5,2;0;0
Rijswijk (ZH.);11;20,2;10;18,4;0;0;Rijswijk (ZH.);3;5,5;3;5,5;0;0;Rijswijk (ZH.);8;14,7;7;12,9;0;0
Roerdalen;11;53,5;7;34;0;0;Roerdalen;1;4,9;1;4,9;0;0;Roerdalen;10;48,6;6;29,1;0;0
Roermond;27;46,3;18;30,9;3;5,1;Roermond;8;13,7;4;6,9;0;0;Roermond;19;32,6;14;24;3;5,1
Roosendaal;19;24,6;9;11,7;0;0;Roosendaal;6;7,8;1;1,3;0;0;Roosendaal;13;16,8;8;10,4;0;0
Rotterdam;177;27,2;79;12,1;3;0,5;Rotterdam;60;9,2;19;2,9;0;0;Rotterdam;117;18;60;9,2;3;0,5
Rozendaal;2;117,4;1;58,7;0;0;Rozendaal;2;117,4;1;58,7;0;0;Rozendaal;0;0;0;0;0;0
Rucphen;6;26,2;2;8,7;0;0;Rucphen;1;4,4;1;4,4;0;0;Rucphen;5;21,8;1;4,3;0;0
Schagen;9;19,4;5;10,8;0;0;Schagen;7;15,1;2;4,3;0;0;Schagen;2;4,3;3;6,5;0;0
Scherpenzeel;3;30,4;0;0;0;0;Scherpenzeel;0;0;0;0;0;0;Scherpenzeel;3;30,4;0;0;0;0
Schiedam;14;17,8;9;11,4;1;1,3;Schiedam;1;1,3;2;2,5;0;0;Schiedam;13;16,5;7;8,9;1;1,3
Schiermonnikoog;0;0;0;0;0;0;Schiermonnikoog;0;0;0;0;0;0;Schiermonnikoog;0;0;0;0;0;0
Schouwen-Duiveland;5;14,8;4;11,8;0;0;Schouwen-Duiveland;1;3;1;3;0;0;Schouwen-Duiveland;4;11,8;3;8,8;0;0
Simpelveld;6;56,8;4;37,9;0;0;Simpelveld;3;28,4;1;9,5;0;0;Simpelveld;3;28,4;3;28,4;0;0
Sint Anthonis;15;128,6;8;68,6;1;8,6;Sint Anthonis;5;42,9;4;34,3;0;0;Sint Anthonis;10;85,7;4;34,3;1;8,6
Sint-Michielsgestel;17;58,2;7;24;1;3,4;Sint-Michielsgestel;6;20,5;3;10,3;0;0;Sint-Michielsgestel;11;37,7;4;13,7;1;3,4
Sittard-Geleen;68;73,6;36;38,9;14;15,1;Sittard-Geleen;51;55,2;17;18,4;5;5,4;Sittard-Geleen;17;18,4;19;20,5;9;9,7
Sliedrecht;5;19,8;2;7,9;0;0;Sliedrecht;1;4;0;0;0;0;Sliedrecht;4;15,8;2;7,9;0;0
Sluis;5;21,5;3;12,9;2;8,6;Sluis;2;8,6;2;8,6;0;0;Sluis;3;12,9;1;4,3;2;8,6
Smallingerland;3;5,3;1;1,8;0;0;Smallingerland;3;5,3;1;1,8;0;0;Smallingerland;0;0;0;0;0;0
Soest;13;27,9;8;17,2;0;0;Soest;6;12,9;0;0;0;0;Soest;7;15;8;17,2;0;0
Someren;14;72,3;8;41,3;1;5,2;Someren;4;20,7;4;20,7;1;5,2;Someren;10;51,6;4;20,6;0;0
Son en Breugel;17;98,1;13;75;3;17,3;Son en Breugel;5;28,9;3;17,3;2;11,5;Son en Breugel;12;69,2;10;57,7;1;5,8
Stadskanaal;0;0;0;0;0;0;Stadskanaal;0;0;0;0;0;0;Stadskanaal;0;0;0;0;0;0
Staphorst;3;17,5;1;5,8;0;0;Staphorst;2;11,7;0;0;0;0;Staphorst;1;5,8;1;5,8;0;0
Stede Broec;11;50,6;8;36,8;1;4,6;Stede Broec;1;4,6;1;4,6;0;0;Stede Broec;10;46;7;32,2;1;4,6
Steenbergen;11;45,1;6;24,6;1;4,1;Steenbergen;2;8,2;1;4,1;1;4,1;Steenbergen;9;36,9;5;20,5;0;0
Steenwijkerland;6;13,6;5;11,3;0;0;Steenwijkerland;1;2,3;1;2,3;0;0;Steenwijkerland;5;11,3;4;9;0;0
Stein (L.);23;92;19;76;4;16;Stein (L.);4;16;2;8;0;0;Stein (L.);19;76;17;68;4;16
Stichtse Vecht;19;29,3;12;18,5;2;3,1;Stichtse Vecht;6;9,2;2;3,1;0;0;Stichtse Vecht;13;20,1;10;15,4;2;3,1
SÃºdwest-FryslÃ¢n;8;8,9;7;7,8;0;0;Súdwest-Fryslân;2;2,2;1;1,1;0;0;Súdwest-Fryslân;6;6,7;6;6,7;0;0
Terneuzen;10;18,4;7;12,9;1;1,8;Terneuzen;3;5,5;3;5,5;0;0;Terneuzen;7;12,9;4;7,4;1;1,8
Terschelling;0;0;0;0;0;0;Terschelling;0;0;0;0;0;0;Terschelling;0;0;0;0;0;0
Texel;2;14,7;1;7,4;0;0;Texel;0;0;1;7,4;0;0;Texel;2;14,7;0;0;0;0
Teylingen;8;21,4;4;10,7;0;0;Teylingen;2;5,3;1;2,7;0;0;Teylingen;6;16,1;3;8;0;0
Tholen;16;62,1;17;66;1;3,9;Tholen;2;7,8;3;11,6;0;0;Tholen;14;54,3;14;54,4;1;3,9
Tiel;14;33,2;13;30,8;2;4,7;Tiel;4;9,5;4;9,5;0;0;Tiel;10;23,7;9;21,3;2;4,7
Tilburg;206;93,7;105;47,8;36;16,4;Tilburg;108;49,1;41;18,7;7;3,2;Tilburg;98;44,6;64;29,1;29;13,2
Tubbergen;3;14,1;4;18,8;0;0;Tubbergen;2;9,4;0;0;0;0;Tubbergen;1;4,7;4;18,8;0;0
Twenterand;3;8,9;3;8,9;0;0;Twenterand;0;0;0;0;0;0;Twenterand;3;8,9;3;8,9;0;0
Tynaarlo;14;41,3;4;11,8;0;0;Tynaarlo;3;8,9;0;0;0;0;Tynaarlo;11;32,4;4;11,8;0;0
Tytsjerksteradiel;2;6,2;0;0;0;0;Tytsjerksteradiel;1;3,1;0;0;0;0;Tytsjerksteradiel;1;3,1;0;0;0;0
Uden;91;216,1;46;109,2;16;38;Uden;53;125,8;30;71,2;6;14,2;Uden;38;90,3;16;38;10;23,8
Uitgeest;4;29,3;2;14,6;0;0;Uitgeest;0;0;0;0;0;0;Uitgeest;4;29,3;2;14,6;0;0
Uithoorn;8;27,1;6;20,4;0;0;Uithoorn;1;3,4;1;3,4;0;0;Uithoorn;7;23,7;5;17;0;0
Urk;7;33,3;7;33,3;0;0;Urk;2;9,5;4;19;0;0;Urk;5;23,8;3;14,3;0;0
Utrecht (gemeente);187;52,3;56;15,7;6;1,7;Utrecht (gemeente);69;19,3;12;3,4;0;0;Utrecht (gemeente);118;33;44;12,3;6;1,7
Utrechtse Heuvelrug;12;24,2;5;10,1;0;0;Utrechtse Heuvelrug;7;14,1;0;0;0;0;Utrechtse Heuvelrug;5;10,1;5;10,1;0;0
Vaals;4;39,6;5;49,5;0;0;Vaals;0;0;0;0;0;0;Vaals;4;39,6;5;49,5;0;0
Valkenburg aan de Geul;9;55;2;12,2;0;0;Valkenburg aan de Geul;3;18,3;0;0;0;0;Valkenburg aan de Geul;6;36,7;2;12,2;0;0
Valkenswaard;11;35,3;7;22,4;0;0;Valkenswaard;1;3,2;1;3,2;0;0;Valkenswaard;10;32,1;6;19,2;0;0
Veendam;1;3,7;0;0;0;0;Veendam;0;0;0;0;0;0;Veendam;1;3,7;0;0;0;0
Veenendaal;6;9;7;10,5;1;1,5;Veenendaal;1;1,5;3;4,5;0;0;Veenendaal;5;7,5;4;6;1;1,5
Veere;7;32;2;9,1;1;4,6;Veere;1;4,6;0;0;0;0;Veere;6;27,4;2;9,1;1;4,6
Veldhoven;22;48,4;8;17,6;1;2,2;Veldhoven;3;6,6;1;2,2;0;0;Veldhoven;19;41,8;7;15,4;1;2,2
Velsen;19;27,7;9;13,1;1;1,5;Velsen;7;10,2;2;2,9;0;0;Velsen;12;17,5;7;10,2;1;1,5
Venlo;51;50,1;42;41,3;6;5,9;Venlo;12;11,8;14;13,8;1;1;Venlo;39;38,3;28;27,5;5;4,9
Venray;17;39;15;34,4;3;6,9;Venray;1;2,3;4;9,2;0;0;Venray;16;36,7;11;25,2;3;6,9
Vijfheerenlanden;21;37;6;10,6;0;0;Vijfheerenlanden;7;12,3;2;3,5;0;0;Vijfheerenlanden;14;24,7;4;7,1;0;0
Vlaardingen;21;28,6;6;8,2;0;0;Vlaardingen;2;2,7;2;2,7;0;0;Vlaardingen;19;25,9;4;5,5;0;0
Vlieland;0;0;0;0;0;0;Vlieland;0;0;0;0;0;0;Vlieland;0;0;0;0;0;0
Vlissingen;8;18;2;4,5;0;0;Vlissingen;4;9;1;2,3;0;0;Vlissingen;4;9;1;2,2;0;0
Voerendaal;6;48,1;4;32,1;1;8;Voerendaal;3;24;2;16;0;0;Voerendaal;3;24,1;2;16,1;1;8
Voorschoten;5;19,5;2;7,8;0;0;Voorschoten;1;3,9;1;3,9;0;0;Voorschoten;4;15,6;1;3,9;0;0
Voorst;5;20,4;4;16,3;0;0;Voorst;1;4,1;1;4,1;0;0;Voorst;4;16,3;3;12,2;0;0
Vught;25;94,1;15;56,5;2;7,5;Vught;8;30,1;4;15,1;0;0;Vught;17;64;11;41,4;2;7,5
Waadhoeke;0;0;1;2,2;0;0;Waadhoeke;0;0;0;0;0;0;Waadhoeke;0;0;1;2,2;0;0
Waalre;4;22,9;1;5,7;0;0;Waalre;1;5,7;0;0;0;0;Waalre;3;17,2;1;5,7;0;0
Waalwijk;38;78,1;15;30,8;6;12,3;Waalwijk;9;18,5;4;8,2;0;0;Waalwijk;29;59,6;11;22,6;6;12,3
Waddinxveen;4;13,7;1;3,4;0;0;Waddinxveen;1;3,4;1;3,4;0;0;Waddinxveen;3;10,3;0;0;0;0
Wageningen;3;7,6;3;7,6;0;0;Wageningen;1;2,5;1;2,5;0;0;Wageningen;2;5,1;2;5,1;0;0
Wassenaar;6;22,8;3;11,4;0;0;Wassenaar;3;11,4;1;3,8;0;0;Wassenaar;3;11,4;2;7,6;0;0
Waterland;10;57,4;5;28,7;1;5,7;Waterland;5;28,7;2;11,5;0;0;Waterland;5;28,7;3;17,2;1;5,7
Weert;23;45,9;18;35,9;2;4;Weert;0;0;6;12;0;0;Weert;23;45,9;12;23,9;2;4
Weesp;7;35,5;1;5,1;1;5,1;Weesp;0;0;1;5,1;0;0;Weesp;7;35,5;0;0;1;5,1
West Betuwe;17;33,2;7;13,7;0;0;West Betuwe;7;13,7;1;2;0;0;West Betuwe;10;19,5;6;11,7;0;0
West Maas en Waal;8;41,4;7;36,2;0;0;West Maas en Waal;2;10,3;0;0;0;0;West Maas en Waal;6;31,1;7;36,2;0;0
Westerkwartier;11;17,4;5;7,9;1;1,6;Westerkwartier;1;1,6;1;1,6;0;0;Westerkwartier;10;15,8;4;6,3;1;1,6
Westerveld;2;10,3;1;5,1;1;5,1;Westerveld;0;0;1;5,1;0;0;Westerveld;2;10,3;0;0;1;5,1
Westervoort;2;13,4;0;0;0;0;Westervoort;0;0;0;0;0;0;Westervoort;2;13,4;0;0;0;0
Westerwolde;3;11,7;3;11,7;0;0;Westerwolde;0;0;0;0;0;0;Westerwolde;3;11,7;3;11,7;0;0
Westland;26;23,6;16;14,5;1;0,9;Westland;6;5,4;5;4,5;0;0;Westland;20;18,2;11;10;1;0,9
Weststellingwerf;1;3,9;2;7,7;0;0;Weststellingwerf;0;0;0;0;0;0;Weststellingwerf;1;3,9;2;7,7;0;0
Westvoorne;7;47,5;3;20,4;0;0;Westvoorne;2;13,6;0;0;0;0;Westvoorne;5;33,9;3;20,4;0;0
Wierden;3;12,3;0;0;0;0;Wierden;1;4,1;0;0;0;0;Wierden;2;8,2;0;0;0;0
Wijchen;26;63,2;18;43,8;1;2,4;Wijchen;8;19,5;6;14,6;0;0;Wijchen;18;43,7;12;29,2;1;2,4
Wijdemeren;4;16,4;2;8,2;0;0;Wijdemeren;1;4,1;1;4,1;0;0;Wijdemeren;3;12,3;1;4,1;0;0
Wijk bij Duurstede;5;20,9;2;8,4;0;0;Wijk bij Duurstede;4;16,7;2;8,4;0;0;Wijk bij Duurstede;1;4,2;0;0;0;0
Winterswijk;2;6,9;1;3,5;0;0;Winterswijk;0;0;0;0;0;0;Winterswijk;2;6,9;1;3,5;0;0
Woensdrecht;5;22,9;3;13,7;0;0;Woensdrecht;0;0;0;0;0;0;Woensdrecht;5;22,9;3;13,7;0;0
Woerden;21;40,2;12;22,9;0;0;Woerden;4;7,6;1;1,9;0;0;Woerden;17;32,6;11;21;0;0
Wormerland;4;24,6;6;36,9;1;6,1;Wormerland;1;6,1;1;6,1;0;0;Wormerland;3;18,5;5;30,8;1;6,1
Woudenberg;6;44,9;2;15;0;0;Woudenberg;2;15;0;0;0;0;Woudenberg;4;29,9;2;15;0;0
Zaanstad;29;18,5;25;15,9;4;2,6;Zaanstad;1;0,6;5;3,2;0;0;Zaanstad;28;17,9;20;12,7;4;2,6
Zaltbommel;5;17,3;3;10,4;0;0;Zaltbommel;2;6,9;0;0;0;0;Zaltbommel;3;10,4;3;10,4;0;0
Zandvoort;6;35,1;3;17,5;1;5,8;Zandvoort;2;11,7;0;0;0;0;Zandvoort;4;23,4;3;17,5;1;5,8
Zeewolde;4;17,7;3;13,2;0;0;Zeewolde;2;8,8;0;0;0;0;Zeewolde;2;8,9;3;13,2;0;0
Zeist;24;37;8;12,3;0;0;Zeist;11;16,9;1;1,5;0;0;Zeist;13;20,1;7;10,8;0;0
Zevenaar;10;22,9;9;20,6;1;2,3;Zevenaar;3;6,9;1;2,3;0;0;Zevenaar;7;16;8;18,3;1;2,3
Zoetermeer;13;10,4;11;8,8;2;1,6;Zoetermeer;2;1,6;2;1,6;0;0;Zoetermeer;11;8,8;9;7,2;2;1,6
Zoeterwoude;1;11,6;1;11,6;0;0;Zoeterwoude;0;0;0;0;0;0;Zoeterwoude;1;11,6;1;11,6;0;0
Zuidplas;5;11,4;8;18,2;0;0;Zuidplas;0;0;0;0;0;0;Zuidplas;5;11,4;8;18,2;0;0
Zundert;13;59,6;8;36,6;2;9,2;Zundert;6;27,5;4;18,3;1;4,6;Zundert;7;32,1;4;18,3;1;4,6
Zutphen;9;18,8;7;14,6;2;4,2;Zutphen;1;2,1;2;4,2;0;0;Zutphen;8;16,7;5;10,4;2;4,2
Zwartewaterland;30;132,2;13;57,3;3;13,2;Zwartewaterland;6;26,4;1;4,4;0;0;Zwartewaterland;24;105,8;12;52,9;3;13,2
Zwijndrecht;8;17,9;7;15,6;1;2,2;Zwijndrecht;5;11,2;3;6,7;0;0;Zwijndrecht;3;6,7;4;8,9;1;2,2
Zwolle;47;36,5;13;10,1;3;2,3;Zwolle;15;11,6;1;0,8;0;0;Zwolle;32;24,9;12;9,3;3;2,3
