Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Oude IJsselstreek;29;73,6;0;0;0;0;;;Oude IJsselstreek;12;30,5;0;0;0;0;;ONWAAR;Oude IJsselstreek
Ouder-Amstel;53;377,9;1;7,1;0;0;;;Ouder-Amstel;28;199,6;0;0;0;0;;ONWAAR;Ouder-Amstel
Oudewater;16;156,4;0;0;0;0;;;Oudewater;6;58,7;0;0;0;0;;ONWAAR;Oudewater
Overbetuwe;77;160,7;1;2,1;0;0;;;Overbetuwe;21;43,8;0;0;0;0;;ONWAAR;Overbetuwe
Papendrecht;40;124,5;0;0;0;0;;;Papendrecht;16;49,8;0;0;0;0;;ONWAAR;Papendrecht
Peel en Maas;11;25,3;0;0;0;0;;;Peel en Maas;11;25,3;0;0;0;0;;ONWAAR;Peel en Maas
Pekela;2;16,4;0;0;0;0;;;Pekela;0;0;0;0;0;0;;ONWAAR;Pekela
Pijnacker-Nootdorp;140;253,1;2;3,6;1;1,8;;;Pijnacker-Nootdorp;68;122,9;3;5,4;0;0;;ONWAAR;Pijnacker-Nootdorp
Purmerend;99;121,8;1;1,2;0;0;;;Purmerend;35;43,1;0;0;0;0;;ONWAAR;Purmerend
Putten;28;116,1;0;0;0;0;;;Putten;9;37,3;0;0;0;0;;ONWAAR;Putten
Raalte;34;90,2;0;0;0;0;;;Raalte;9;23,9;0;0;0;0;;ONWAAR;Raalte
Reimerswaal;10;44;1;4,4;0;0;;;Reimerswaal;4;17,6;0;0;0;0;;ONWAAR;Reimerswaal
Renkum;35;111,4;0;0;0;0;;;Renkum;18;57,3;0;0;0;0;;ONWAAR;Renkum
Renswoude;4;73,5;0;0;0;0;;;Renswoude;0;0;0;0;0;0;;ONWAAR;Renswoude
Reusel-De Mierden;68;518,6;0;0;0;0;;;Reusel-De Mierden;11;83,9;0;0;0;0;;ONWAAR;Reusel-De Mierden
Rheden;33;75,4;0;0;0;0;;;Rheden;14;32;0;0;0;0;;ONWAAR;Rheden
Rhenen;10;49,7;0;0;0;0;;;Rhenen;7;34,8;0;0;0;0;;ONWAAR;Rhenen
Ridderkerk;83;179,7;1;2,2;0;0;;;Ridderkerk;36;77,9;0;0;0;0;;ONWAAR;Ridderkerk
Rijssen-Holten;25;65,5;0;0;0;0;;;Rijssen-Holten;10;26,2;0;0;0;0;;ONWAAR;Rijssen-Holten
Rijswijk (ZH.);144;264,5;2;3,7;0;0;;;Rijswijk (ZH.);77;141,4;0;0;0;0;;ONWAAR;Rijswijk (ZH.)
Roerdalen;6;29,2;0;0;0;0;;;Roerdalen;0;0;0;0;0;0;;ONWAAR;Roerdalen
Roermond;41;70,4;1;1,7;0;0;;;Roermond;21;36;0;0;0;0;;ONWAAR;Roermond
Roosendaal;106;137,2;3;3,9;0;0;;;Roosendaal;27;35;0;0;0;0;;ONWAAR;Roosendaal
Rotterdam;2474;379,9;19;2,9;5;0,8;;;Rotterdam;1131;173,7;14;2,2;0;0;;ONWAAR;Rotterdam
Rozendaal;2;117,4;0;0;0;0;;;Rozendaal;0;0;0;0;0;0;;ONWAAR;Rozendaal
Rucphen;24;104,9;0;0;0;0;;;Rucphen;4;17,5;0;0;0;0;;ONWAAR;Rucphen
Schagen;52;111,9;1;2,2;0;0;;;SÃºdwest-FryslÃ¢n;15;16,7;1;1,1;0;0;;ONWAAR;Schagen
Scherpenzeel;8;81;0;0;0;0;;;Schagen;7;15,1;0;0;0;0;;ONWAAR;Scherpenzeel
Schiedam;276;350,6;3;3,8;1;1,3;;;Scherpenzeel;0;0;0;0;0;0;;ONWAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;Schiedam;103;130,8;0;0;0;0;;ONWAAR;Schiermonnikoog
Schouwen-Duiveland;19;56,1;0;0;0;0;;;Schiermonnikoog;0;0;0;0;0;0;;ONWAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);2024;370,8;42;7,7;12;2,2;;;Schouwen-Duiveland;19;56,1;0;0;0;0;;ONWAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;224;144,4;3;1,9;0;0;;;'s-Gravenhage (gemeente);1187;217,5;9;1,6;1;0,2;;ONWAAR;'s-Hertogenbosch
Simpelveld;3;28,4;0;0;0;0;;;'s-Hertogenbosch;67;43,2;0;0;0;0;;ONWAAR;Simpelveld
Sint Anthonis;5;42,9;0;0;0;0;;;Simpelveld;2;18,9;0;0;0;0;;ONWAAR;Sint Anthonis
Sint-Michielsgestel;76;260,2;0;0;0;0;;;Sint Anthonis;3;25,7;0;0;0;0;;ONWAAR;Sint-Michielsgestel
Sittard-Geleen;27;29,2;0;0;0;0;;;Sint-Michielsgestel;12;41,1;0;0;0;0;;ONWAAR;Sittard-Geleen
Sliedrecht;29;115;0;0;0;0;;;Sittard-Geleen;19;20,6;0;0;0;0;;ONWAAR;Sliedrecht
Sluis;6;25,9;0;0;0;0;;;Sliedrecht;9;35,7;0;0;0;0;;ONWAAR;Sluis
Smallingerland;22;39,2;0;0;0;0;;;Sluis;0;0;0;0;0;0;;ONWAAR;Smallingerland
Soest;99;212,4;0;0;0;0;;;Smallingerland;4;7,1;0;0;0;0;;ONWAAR;Soest
Someren;6;31;0;0;0;0;;;Soest;27;57,9;0;0;0;0;;ONWAAR;Someren
Son en Breugel;16;92,4;0;0;0;0;;;Someren;1;5,2;0;0;0;0;;ONWAAR;Son en Breugel
Stadskanaal;33;104,1;0;0;0;0;;;Son en Breugel;6;34,6;0;0;0;0;;ONWAAR;Stadskanaal
Staphorst;8;46,7;0;0;0;0;;;Stadskanaal;4;12,6;0;0;0;0;;ONWAAR;Staphorst
Stede Broec;17;78,2;0;0;0;0;;;Staphorst;4;23,3;0;0;0;0;;ONWAAR;Stede Broec
Steenbergen;22;90,1;0;0;0;0;;;Stede Broec;4;18,4;0;0;0;0;;ONWAAR;Steenbergen
Steenwijkerland;24;54,4;0;0;0;0;;;Steenbergen;2;8,2;0;0;0;0;;ONWAAR;Steenwijkerland
Stein (L.);6;24;1;4;0;0;;;Steenwijkerland;7;15,9;0;0;0;0;;ONWAAR;Stein (L.)
Stichtse Vecht;120;184,8;1;1,5;0;0;;;Stein (L.);2;8;0;0;0;0;;ONWAAR;Stichtse Vecht
Súdwest-Fryslân;50;55,6;0;0;0;0;;;Stichtse Vecht;68;104,7;0;0;0;0;;ONWAAR;Sudwest-Fryslan
Terneuzen;19;34,9;0;0;0;0;;;Terneuzen;6;11;0;0;0;0;;ONWAAR;Terneuzen
Terschelling;2;40,9;0;0;0;0;;;Terschelling;0;0;0;0;0;0;;ONWAAR;Terschelling
Texel;20;147,3;0;0;0;0;;;Texel;2;14,7;0;0;0;0;;ONWAAR;Texel
Teylingen;97;259,1;0;0;0;0;;;Teylingen;20;53,4;0;0;0;0;;ONWAAR;Teylingen
Tholen;14;54,4;0;0;0;0;;;Tholen;5;19,4;0;0;0;0;;ONWAAR;Tholen
Tiel;53;125,7;1;2,4;2;4,7;;;Tiel;17;40,3;0;0;0;0;;ONWAAR;Tiel
Tilburg;288;131;2;0,9;3;1,4;;;Tilburg;199;90,5;1;0,5;0;0;;ONWAAR;Tilburg
Tubbergen;33;155,1;0;0;0;0;;;Tubbergen;3;14,1;0;0;0;0;;ONWAAR;Tubbergen
Twenterand;5;14,8;0;0;0;0;;;Twenterand;1;3;0;0;0;0;;ONWAAR;Twenterand
Tynaarlo;25;73,8;0;0;0;0;;;Tynaarlo;5;14,8;0;0;0;0;;ONWAAR;Tynaarlo
Tytsjerksteradiel;25;78;0;0;0;0;;;Tytsjerksteradiel;1;3,1;0;0;0;0;;ONWAAR;Tytsjerksteradiel
Uden;50;118,7;0;0;0;0;;;Uden;9;21,4;0;0;0;0;;ONWAAR;Uden
Uitgeest;15;109,8;0;0;0;0;;;Uitgeest;8;58,5;0;0;0;0;;ONWAAR;Uitgeest
Uithoorn;66;223,9;0;0;0;0;;;Uithoorn;37;125,5;0;0;0;0;;ONWAAR;Uithoorn
Urk;5;23,8;0;0;0;0;;;Urk;0;0;0;0;0;0;;ONWAAR;Urk
Utrecht (gemeente);977;273,2;8;2,2;0;0;;;Utrecht (gemeente);438;122,5;4;1,1;0;0;;ONWAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;73;147,2;0;0;0;0;;;Utrechtse Heuvelrug;23;46,4;0;0;0;0;;ONWAAR;Utrechtse Heuvelrug
Vaals;1;9,9;0;0;0;0;;;Vaals;1;9,9;0;0;0;0;;ONWAAR;Vaals
Valkenburg aan de Geul;8;48,9;0;0;0;0;;;Valkenburg aan de Geul;1;6,1;0;0;0;0;;ONWAAR;Valkenburg aan de Geul
Valkenswaard;30;96,2;0;0;0;0;;;Valkenswaard;20;64,1;0;0;0;0;;ONWAAR;Valkenswaard
Veendam;14;51,1;0;0;0;0;;;Veendam;8;29,2;0;0;0;0;;ONWAAR;Veendam
Veenendaal;70;105,3;1;1,5;0;0;;;Veenendaal;25;37,6;0;0;0;0;;ONWAAR;Veenendaal
Veere;11;50,3;0;0;0;0;;;Veere;3;13,7;0;0;0;0;;ONWAAR;Veere
Veldhoven;75;165;0;0;0;0;;;Veldhoven;13;28,6;0;0;0;0;;ONWAAR;Veldhoven
Velsen;90;131,1;1;1,5;1;1,5;;;Velsen;70;102;1;1,5;1;1,5;;ONWAAR;Velsen
Venlo;138;135,6;2;2;1;1;;;Venlo;52;51,1;1;1;1;1;;ONWAAR;Venlo
Venray;46;105,5;0;0;0;0;;;Venray;18;41,3;0;0;0;0;;ONWAAR;Venray
Vijfheerenlanden;161;283,4;2;3,5;0;0;;;Vijfheerenlanden;36;63,4;0;0;0;0;;ONWAAR;Vijfheerenlanden
Vlaardingen;175;238,4;2;2,7;0;0;;;Vlaardingen;74;100,8;0;0;0;0;;ONWAAR;Vlaardingen
Vlieland;2;173,2;0;0;0;0;;;Vlieland;0;0;0;0;0;0;;ONWAAR;Vlieland
Vlissingen;19;42,8;0;0;0;0;;;Vlissingen;11;24,8;0;0;0;0;;ONWAAR;Vlissingen
Voerendaal;8;64,1;0;0;0;0;;;Voerendaal;1;8;0;0;0;0;;ONWAAR;Voerendaal
Voorschoten;35;136,7;0;0;0;0;;;Voorschoten;23;89,9;0;0;0;0;;ONWAAR;Voorschoten
Voorst;17;69,2;0;0;0;0;;;Voorst;1;4,1;0;0;0;0;;ONWAAR;Voorst
Vught;28;105,4;0;0;0;0;;;Vught;11;41,4;0;0;0;0;;ONWAAR;Vught
Waadhoeke;31;67,3;1;2,2;0;0;;;Waadhoeke;3;6,5;0;0;0;0;;ONWAAR;Waadhoeke
Waalre;24;137,5;0;0;0;0;;;Waalre;9;51,6;0;0;0;0;;ONWAAR;Waalre
Waalwijk;48;98,7;1;2,1;0;0;;;Waalwijk;30;61,7;1;2,1;0;0;;ONWAAR;Waalwijk
Waddinxveen;42;143,4;0;0;0;0;;;Waddinxveen;28;95,6;0;0;0;0;;ONWAAR;Waddinxveen
Wageningen;65;163,9;0;0;0;0;;;Wageningen;42;105,9;0;0;0;0;;ONWAAR;Wageningen
Wassenaar;53;201,5;0;0;0;0;;;Wassenaar;26;98,8;1;3,8;0;0;;ONWAAR;Wassenaar
Waterland;27;155;0;0;0;0;;;Waterland;18;103,3;0;0;0;0;;ONWAAR;Waterland
Weert;33;65,9;0;0;1;2;;;Weert;7;14;0;0;0;0;;ONWAAR;Weert
Weesp;80;405,3;0;0;0;0;;;Weesp;30;152;0;0;0;0;;ONWAAR;Weesp
West Betuwe;37;72,4;0;0;0;0;;;West Betuwe;11;21,5;0;0;0;0;;ONWAAR;West Betuwe
West Maas en Waal;17;88;0;0;0;0;;;West Maas en Waal;5;25,9;1;5,2;0;0;;ONWAAR;West Maas en Waal
Westerkwartier;40;63,2;0;0;0;0;;;Westerkwartier;6;9,5;0;0;0;0;;ONWAAR;Westerkwartier
Westerveld;8;41,1;0;0;0;0;;;Westerveld;1;5,1;0;0;0;0;;ONWAAR;Westerveld
Westervoort;6;40,1;0;0;0;0;;;Westervoort;4;26,7;0;0;0;0;;ONWAAR;Westervoort
Westerwolde;18;69,9;0;0;0;0;;;Westerwolde;2;7,8;0;0;0;0;;ONWAAR;Westerwolde
Westland;179;162,2;1;0,9;0;0;;;Westland;85;77;0;0;0;0;;ONWAAR;Westland
Weststellingwerf;15;57,9;0;0;0;0;;;Weststellingwerf;5;19,3;0;0;0;0;;ONWAAR;Weststellingwerf
Westvoorne;19;129;0;0;0;0;;;Westvoorne;7;47,5;0;0;0;0;;ONWAAR;Westvoorne
Wierden;23;94,1;2;8,2;0;0;;;Wierden;11;45;0;0;0;0;;ONWAAR;Wierden
Wijchen;69;167,8;0;0;0;0;;;Wijchen;18;43,8;0;0;0;0;;ONWAAR;Wijchen
Wijdemeren;36;147,8;0;0;0;0;;;Wijdemeren;24;98,5;0;0;0;0;;ONWAAR;Wijdemeren
Wijk bij Duurstede;26;108,7;0;0;0;0;;;Wijk bij Duurstede;9;37,6;0;0;0;0;;ONWAAR;Wijk bij Duurstede
Winterswijk;17;58,9;0;0;0;0;;;Winterswijk;2;6,9;0;0;0;0;;ONWAAR;Winterswijk
Woensdrecht;20;91,4;0;0;0;0;;;Woensdrecht;5;22,9;0;0;0;0;;ONWAAR;Woensdrecht
Woerden;64;122,4;1;1,9;0;0;;;Woerden;24;45,9;2;3,8;0;0;;ONWAAR;Woerden
Wormerland;15;92,2;0;0;0;0;;;Wormerland;4;24,6;0;0;0;0;;ONWAAR;Wormerland
Woudenberg;13;97,3;1;7,5;0;0;;;Woudenberg;8;59,9;0;0;0;0;;ONWAAR;Woudenberg
Zaanstad;286;182,4;3;1,9;2;1,3;;;Zaanstad;150;95,7;3;1,9;1;0,6;;ONWAAR;Zaanstad
Zaltbommel;36;124,6;0;0;0;0;;;Zaltbommel;7;24,2;0;0;0;0;;ONWAAR;Zaltbommel
Zandvoort;20;116,8;0;0;0;0;;;Zandvoort;11;64,3;0;0;0;0;;ONWAAR;Zandvoort
Zeewolde;28;123,6;0;0;0;0;;;Zeewolde;16;70,6;0;0;0;0;;ONWAAR;Zeewolde
Zeist;102;157,2;0;0;1;1,5;;;Zeist;59;90,9;0;0;0;0;;ONWAAR;Zeist
Zevenaar;60;137,1;2;4,6;1;2,3;;;Zevenaar;20;45,7;0;0;0;0;;ONWAAR;Zevenaar
Zoetermeer;299;238,7;2;1,6;0;0;;;Zoetermeer;143;114,1;1;0,8;0;0;;ONWAAR;Zoetermeer
Zoeterwoude;13;151,1;0;0;0;0;;;Zoeterwoude;4;46,5;0;0;0;0;;ONWAAR;Zoeterwoude
Zuidplas;159;362,3;0;0;0;0;;;Zuidplas;54;123;0;0;0;0;;ONWAAR;Zuidplas
Zundert;25;114,5;0;0;0;0;;;Zundert;5;22,9;0;0;0;0;;ONWAAR;Zundert
Zutphen;22;45,9;1;2,1;0;0;;;Zutphen;6;12,5;0;0;0;0;;ONWAAR;Zutphen
Zwartewaterland;27;119;0;0;0;0;;;Zwartewaterland;3;13,2;0;0;0;0;;ONWAAR;Zwartewaterland
Zwijndrecht;109;243,6;2;4,5;1;2,2;;;Zwijndrecht;33;73,8;0;0;0;0;;ONWAAR;Zwijndrecht
Zwolle;128;99,3;0;0;0;0;;;Zwolle;56;43,5;0;0;0;0;;ONWAAR;Zwolle
;30272;44809,3;284;353,7;92;141,6;;;;12754;16220,6;95;74;16;14,5;;;
