Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Waalre;1;5,7;0;0;0;0;;;WAAR;Waalre
Waalwijk;8;16,4;0;0;2;4,1;;;WAAR;Waalwijk
Waddinxveen;15;51,2;0;0;1;3,4;;;WAAR;Waddinxveen
Wageningen;2;5;0;0;0;0;;;WAAR;Wageningen
Wassenaar;5;19;0;0;3;11,4;;;WAAR;Wassenaar
Waterland;0;0;0;0;1;5,7;;;WAAR;Waterland
Weert;8;16;2;4;1;2;;;WAAR;Weert
Weesp;14;70,9;0;0;6;30,4;;;WAAR;Weesp
West Betuwe;13;25,4;1;2;2;3,9;;;WAAR;West Betuwe
West Maas en Waal;5;25,9;1;5,2;1;5,2;;;WAAR;West Maas en Waal
Westerkwartier;2;3,2;0;0;0;0;;;WAAR;Westerkwartier
Westerveld;0;0;0;0;0;0;;;WAAR;Westerveld
Westervoort;3;20;0;0;1;6,7;;;WAAR;Westervoort
Westerwolde;0;0;0;0;0;0;;;WAAR;Westerwolde
Westland;12;10,9;2;1,8;2;1,8;;;WAAR;Westland
Weststellingwerf;2;7,7;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;2;13,6;0;0;0;0;;;WAAR;Westvoorne
Wierden;5;20,5;0;0;0;0;;;WAAR;Wierden
Wijchen;12;29,2;2;4,9;1;2,4;;;WAAR;Wijchen
Wijdemeren;6;24,6;1;4,1;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;0;0;0;0;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;3;10,4;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;4;18,3;0;0;1;4,6;;;WAAR;Woensdrecht
Woerden;20;38,2;1;1,9;3;5,7;;;WAAR;Woerden
Wormerland;3;18,4;0;0;0;0;;;WAAR;Wormerland
Woudenberg;1;7,5;0;0;0;0;;;WAAR;Woudenberg
Zaanstad;44;28,1;5;3,2;5;3,2;;;WAAR;Zaanstad
Zaltbommel;13;45;1;3,5;0;0;;;WAAR;Zaltbommel
Zandvoort;2;11,7;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;7;30,9;0;0;0;0;;;WAAR;Zeewolde
Zeist;13;20;0;0;1;1,5;;;WAAR;Zeist
Zevenaar;13;29,7;0;0;2;4,6;;;WAAR;Zevenaar
Zoetermeer;19;15,2;2;1,6;2;1,6;;;WAAR;Zoetermeer
Zoeterwoude;3;34,9;0;0;0;0;;;WAAR;Zoeterwoude
Zuidplas;7;16;1;2,3;2;4,6;;;WAAR;Zuidplas
Zundert;3;13,7;0;0;1;4,6;;;WAAR;Zundert
Zutphen;18;37,6;5;10,4;3;6,3;;;WAAR;Zutphen
Zwartewaterland;5;22;1;4,4;2;8,8;;;WAAR;Zwartewaterland
Zwijndrecht;23;51,4;3;6,7;10;22,4;;;WAAR;Zwijndrecht
Zwolle;17;13,2;0;0;1;0,8;;;WAAR;Zwolle
