Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
Zeist;16;24,7;0;0;0;0
Zevenaar;2;4,6;0;0;0;0
Zoetermeer;35;27,9;0;0;0;0
Zoeterwoude;1;11,6;0;0;0;0
Zuidplas;10;22,8;0;0;0;0
Zundert;4;18,3;0;0;0;0
Zutphen;5;10,4;0;0;0;0
Zwartewaterland;0;0;0;0;0;0
Zwijndrecht;22;49,2;0;0;0;0
Zwolle;10;7,8;0;0;0;0
