Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Nijmegen;268;Nijmegen;177659;21-10-2020;3-11-2020;974;548,2;9;5,1;10;5,6;;WAAR;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;21-10-2020;3-11-2020;873;1024,4;8;9,4;3;3,5;;WAAR;WAAR;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;21-10-2020;3-11-2020;79;174,7;0;0;0;0;;WAAR;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;21-10-2020;3-11-2020;33;446,4;0;0;0;0;;WAAR;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;21-10-2020;3-11-2020;34;108,8;0;0;0;0;;WAAR;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;21-10-2020;3-11-2020;109;230,5;2;4,2;1;2,1;;WAAR;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;21-10-2020;3-11-2020;376;864,2;3;6,9;0;0;;WAAR;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;21-10-2020;3-11-2020;153;654,3;1;4,3;0;0;;WAAR;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;21-10-2020;3-11-2020;101;362,6;1;3,6;1;3,6;;WAAR;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;21-10-2020;3-11-2020;156;628;2;8,1;0;0;;WAAR;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;21-10-2020;3-11-2020;129;689,3;0;0;1;5,3;;WAAR;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;21-10-2020;3-11-2020;191;727,8;0;0;2;7,6;;WAAR;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;21-10-2020;3-11-2020;54;141,3;0;0;0;0;;WAAR;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;21-10-2020;3-11-2020;69;291,8;0;0;1;4,2;;WAAR;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;21-10-2020;3-11-2020;242;760,1;0;0;4;12,6;;WAAR;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;21-10-2020;3-11-2020;67;367,1;0;0;0;0;;WAAR;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;21-10-2020;3-11-2020;78;433,1;0;0;0;0;;WAAR;WAAR;Ommen
Oost Gelre;1586;Oost Gelre;29627;21-10-2020;3-11-2020;223;752,7;1;3,4;1;3,4;;WAAR;WAAR;Oost Gelre
Oosterhout;826;Oosterhout;55982;21-10-2020;3-11-2020;514;918,2;1;1,8;0;0;;WAAR;WAAR;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;21-10-2020;3-11-2020;70;274,8;0;0;0;0;;WAAR;WAAR;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;21-10-2020;3-11-2020;77;791;0;0;0;0;;WAAR;WAAR;Oostzaan
Opmeer;432;Opmeer;11836;21-10-2020;3-11-2020;71;599,9;0;0;1;8,4;;WAAR;WAAR;Opmeer
Opsterland;86;Opsterland;29733;21-10-2020;3-11-2020;36;121,1;0;0;0;0;;WAAR;WAAR;Opsterland
Oss;828;Oss;91915;21-10-2020;3-11-2020;845;919,3;3;3,3;2;2,2;;WAAR;WAAR;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;21-10-2020;3-11-2020;186;472,2;2;5,1;0;0;;WAAR;WAAR;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;21-10-2020;3-11-2020;90;641,7;1;7,1;0;0;;WAAR;WAAR;Ouder-Amstel
Oudewater;589;Oudewater;10230;21-10-2020;3-11-2020;70;684,3;0;0;1;9,8;;WAAR;WAAR;Oudewater
Overbetuwe;1734;Overbetuwe;47906;21-10-2020;3-11-2020;215;448,8;1;2,1;2;4,2;;WAAR;WAAR;Overbetuwe
Papendrecht;590;Papendrecht;32136;21-10-2020;3-11-2020;338;1051,8;0;0;2;6,2;;WAAR;WAAR;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;21-10-2020;3-11-2020;187;430,6;1;2,3;0;0;;WAAR;WAAR;Peel en Maas
Pekela;765;Pekela;12196;21-10-2020;3-11-2020;28;229,6;1;8,2;1;8,2;;WAAR;WAAR;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;21-10-2020;3-11-2020;432;781,1;2;3,6;0;0;;WAAR;WAAR;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;21-10-2020;3-11-2020;502;617,9;3;3,7;1;1,2;;WAAR;WAAR;Purmerend
Putten;273;Putten;24112;21-10-2020;3-11-2020;126;522,6;0;0;0;0;;WAAR;WAAR;Putten
Raalte;177;Raalte;37712;21-10-2020;3-11-2020;157;416,3;0;0;1;2,7;;WAAR;WAAR;Raalte
Reimerswaal;703;Reimerswaal;22730;21-10-2020;3-11-2020;73;321,2;0;0;1;4,4;;WAAR;WAAR;Reimerswaal
Renkum;274;Renkum;31419;21-10-2020;3-11-2020;153;487;1;3,2;0;0;;WAAR;WAAR;Renkum
Renswoude;339;Renswoude;5444;21-10-2020;3-11-2020;42;771,5;0;0;0;0;;WAAR;WAAR;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;21-10-2020;3-11-2020;154;1174,5;0;0;1;7,6;;WAAR;WAAR;Reusel-De Mierden
Rheden;275;Rheden;43761;21-10-2020;3-11-2020;253;578,1;0;0;0;0;;WAAR;WAAR;Rheden
Rhenen;340;Rhenen;20119;21-10-2020;3-11-2020;143;710,8;1;5;0;0;;WAAR;WAAR;Rhenen
Ridderkerk;597;Ridderkerk;46189;21-10-2020;3-11-2020;424;918;2;4,3;3;6,5;;WAAR;WAAR;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;21-10-2020;3-11-2020;348;911,5;0;0;1;2,6;;WAAR;WAAR;Rijssen-Holten
Rijswijk (ZH.);603;Rijswijk (ZH.);54450;21-10-2020;3-11-2020;466;855,8;1;1,8;11;20,2;;WAAR;WAAR;Rijswijk (ZH.)
Roerdalen;1669;Roerdalen;20574;21-10-2020;3-11-2020;50;243;0;0;0;0;;WAAR;WAAR;Roerdalen
Roermond;957;Roermond;58260;21-10-2020;3-11-2020;190;326,1;0;0;0;0;;WAAR;WAAR;Roermond
Roosendaal;1674;Roosendaal;77251;21-10-2020;3-11-2020;742;960,5;2;2,6;7;9,1;;WAAR;WAAR;Roosendaal
Rotterdam;599;Rotterdam;651157;21-10-2020;3-11-2020;6761;1038,3;49;7,5;30;4,6;;WAAR;WAAR;Rotterdam
Rozendaal;277;Rozendaal;1704;21-10-2020;3-11-2020;0;0;0;0;0;0;;WAAR;WAAR;Rozendaal
Rucphen;840;Rucphen;22878;21-10-2020;3-11-2020;184;804,3;3;13,1;0;0;;WAAR;WAAR;Rucphen
Schagen;441;Schagen;46483;21-10-2020;3-11-2020;314;675,5;1;2,2;1;2,2;;WAAR;WAAR;Schagen
Scherpenzeel;279;Scherpenzeel;9880;21-10-2020;3-11-2020;66;668;0;0;0;0;;WAAR;WAAR;Scherpenzeel
Schiedam;606;Schiedam;78730;21-10-2020;3-11-2020;843;1070,7;6;7,6;0;0;;WAAR;WAAR;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;21-10-2020;3-11-2020;2;211,2;0;0;0;0;;WAAR;WAAR;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;21-10-2020;3-11-2020;137;404,9;0;0;1;3;;WAAR;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);518;'s-Gravenhage (gemeente);545838;21-10-2020;3-11-2020;4492;823;73;13,4;18;3,3;;WAAR;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;796;'s-Hertogenbosch;155111;21-10-2020;3-11-2020;1022;658,9;5;3,2;3;1,9;;WAAR;WAAR;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;21-10-2020;3-11-2020;36;341,1;0;0;0;0;;WAAR;WAAR;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;21-10-2020;3-11-2020;67;574,4;0;0;0;0;;WAAR;WAAR;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;21-10-2020;3-11-2020;223;763,5;0;0;0;0;;WAAR;WAAR;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;21-10-2020;3-11-2020;267;288,9;4;4,3;1;1,1;;WAAR;WAAR;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;21-10-2020;3-11-2020;258;1023;1;4;0;0;;WAAR;WAAR;Sliedrecht
Sluis;1714;Sluis;23210;21-10-2020;3-11-2020;58;249,9;1;4,3;0;0;;WAAR;WAAR;Sluis
Smallingerland;90;Smallingerland;56150;21-10-2020;3-11-2020;134;238,6;0;0;1;1,8;;WAAR;WAAR;Smallingerland
Soest;342;Soest;46606;21-10-2020;3-11-2020;372;798,2;4;8,6;6;12,9;;WAAR;WAAR;Soest
Someren;847;Someren;19368;21-10-2020;3-11-2020;132;681,5;0;0;0;0;;WAAR;WAAR;Someren
Son en Breugel;848;Son en Breugel;17322;21-10-2020;3-11-2020;121;698,5;0;0;1;5,8;;WAAR;WAAR;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;21-10-2020;3-11-2020;166;523,9;3;9,5;4;12,6;;WAAR;WAAR;Stadskanaal
Staphorst;180;Staphorst;17145;21-10-2020;3-11-2020;115;670,7;0;0;0;0;;WAAR;WAAR;Staphorst
Stede Broec;532;Stede Broec;21726;21-10-2020;3-11-2020;123;566,1;0;0;0;0;;WAAR;WAAR;Stede Broec
Steenbergen;851;Steenbergen;24416;21-10-2020;3-11-2020;202;827,3;0;0;1;4,1;;WAAR;WAAR;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;21-10-2020;3-11-2020;109;247;0;0;1;2,3;;WAAR;WAAR;Steenwijkerland
Stein (L.);971;Stein (L.);25007;21-10-2020;3-11-2020;88;351,9;2;8;1;4;;WAAR;WAAR;Stein (L.)
Stichtse Vecht;1904;Stichtse Vecht;64931;21-10-2020;3-11-2020;461;710;5;7,7;3;4,6;;WAAR;WAAR;Stichtse Vecht
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;21-10-2020;3-11-2020;350;388,9;1;1,1;0;0;;WAAR;WAAR;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;21-10-2020;3-11-2020;156;286,6;2;3,7;0;0;;WAAR;WAAR;Terneuzen
Terschelling;93;Terschelling;4888;21-10-2020;3-11-2020;16;327,3;0;0;1;20,5;;WAAR;WAAR;Terschelling
Texel;448;Texel;13575;21-10-2020;3-11-2020;27;198,9;0;0;0;0;;WAAR;WAAR;Texel
Teylingen;1525;Teylingen;37440;21-10-2020;3-11-2020;289;771,9;0;0;0;0;;WAAR;WAAR;Teylingen
Tholen;716;Tholen;25757;21-10-2020;3-11-2020;183;710,5;2;7,8;1;3,9;;WAAR;WAAR;Tholen
Tiel;281;Tiel;42159;21-10-2020;3-11-2020;420;996,2;2;4,7;1;2,4;;WAAR;WAAR;Tiel
Tilburg;855;Tilburg;219789;21-10-2020;3-11-2020;1787;813,1;14;6,4;5;2,3;;WAAR;WAAR;Tilburg
Tubbergen;183;Tubbergen;21275;21-10-2020;3-11-2020;267;1255;0;0;1;4,7;;WAAR;WAAR;Tubbergen
Twenterand;1700;Twenterand;33743;21-10-2020;3-11-2020;290;859,4;0;0;0;0;;WAAR;WAAR;Twenterand
Tynaarlo;1730;Tynaarlo;33887;21-10-2020;3-11-2020;79;233,1;0;0;2;5,9;;WAAR;WAAR;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;21-10-2020;3-11-2020;61;190,3;0;0;2;6,2;;WAAR;WAAR;Tytsjerksteradiel
Uden;856;Uden;42119;21-10-2020;3-11-2020;222;527,1;1;2,4;1;2,4;;WAAR;WAAR;Uden
Uitgeest;450;Uitgeest;13666;21-10-2020;3-11-2020;77;563,4;0;0;0;0;;WAAR;WAAR;Uitgeest
Uithoorn;451;Uithoorn;29478;21-10-2020;3-11-2020;200;678,5;0;0;0;0;;WAAR;WAAR;Uithoorn
Urk;184;Urk;21031;21-10-2020;3-11-2020;98;466;1;4,8;0;0;;WAAR;WAAR;Urk
Utrecht (gemeente);344;Utrecht (gemeente);357597;21-10-2020;3-11-2020;3185;890,7;21;5,9;8;2,2;;WAAR;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;21-10-2020;3-11-2020;296;597;1;2;1;2;;WAAR;WAAR;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;21-10-2020;3-11-2020;22;217,7;0;0;0;0;;WAAR;WAAR;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;21-10-2020;3-11-2020;63;384,9;1;6,1;1;6,1;;WAAR;WAAR;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;21-10-2020;3-11-2020;273;875,2;0;0;1;3,2;;WAAR;WAAR;Valkenswaard
Veendam;47;Veendam;27384;21-10-2020;3-11-2020;55;200,8;1;3,7;0;0;;WAAR;WAAR;Veendam
Veenendaal;345;Veenendaal;66493;21-10-2020;3-11-2020;638;959,5;7;10,5;1;1,5;;WAAR;WAAR;Veenendaal
Veere;717;Veere;21880;21-10-2020;3-11-2020;23;105,1;0;0;0;0;;WAAR;WAAR;Veere
Veldhoven;861;Veldhoven;45466;21-10-2020;3-11-2020;392;862,2;2;4,4;1;2,2;;WAAR;WAAR;Veldhoven
Velsen;453;Velsen;68648;21-10-2020;3-11-2020;446;649,7;4;5,8;2;2,9;;WAAR;WAAR;Velsen
Venlo;983;Venlo;101802;21-10-2020;3-11-2020;589;578,6;7;6,9;2;2;;WAAR;WAAR;Venlo
Venray;984;Venray;43614;21-10-2020;3-11-2020;348;797,9;3;6,9;2;4,6;;WAAR;WAAR;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;21-10-2020;3-11-2020;432;760,4;1;1,8;2;3,5;;WAAR;WAAR;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;21-10-2020;3-11-2020;831;1132,2;5;6,8;6;8,2;;WAAR;WAAR;Vlaardingen
Vlieland;96;Vlieland;1155;21-10-2020;3-11-2020;3;259,7;0;0;0;0;;WAAR;WAAR;Vlieland
Vlissingen;718;Vlissingen;44360;21-10-2020;3-11-2020;117;263,8;2;4,5;0;0;;WAAR;WAAR;Vlissingen
Voerendaal;986;Voerendaal;12475;21-10-2020;3-11-2020;47;376,8;1;8;0;0;;WAAR;WAAR;Voerendaal
Voorschoten;626;Voorschoten;25596;21-10-2020;3-11-2020;157;613,4;0;0;0;0;;WAAR;WAAR;Voorschoten
Voorst;285;Voorst;24552;21-10-2020;3-11-2020;99;403,2;1;4,1;0;0;;WAAR;WAAR;Voorst
Vught;865;Vught;26558;21-10-2020;3-11-2020;178;670,2;0;0;1;3,8;;WAAR;WAAR;Vught
Waadhoeke;1949;Waadhoeke;46090;21-10-2020;3-11-2020;113;245,2;0;0;1;2,2;;WAAR;WAAR;Waadhoeke
Waalre;866;Waalre;17456;21-10-2020;3-11-2020;132;756,2;0;0;3;17,2;;WAAR;WAAR;Waalre
Waalwijk;867;Waalwijk;48637;21-10-2020;3-11-2020;470;966,3;4;8,2;4;8,2;;WAAR;WAAR;Waalwijk
Waddinxveen;627;Waddinxveen;29291;21-10-2020;3-11-2020;223;761,3;2;6,8;0;0;;WAAR;WAAR;Waddinxveen
Wageningen;289;Wageningen;39664;21-10-2020;3-11-2020;191;481,5;3;7,6;1;2,5;;WAAR;WAAR;Wageningen
Wassenaar;629;Wassenaar;26305;21-10-2020;3-11-2020;133;505,6;1;3,8;0;0;;WAAR;WAAR;Wassenaar
Waterland;852;Waterland;17424;21-10-2020;3-11-2020;137;786,3;1;5,7;1;5,7;;WAAR;WAAR;Waterland
Weert;988;Weert;50105;21-10-2020;3-11-2020;304;606,7;3;6;0;0;;WAAR;WAAR;Weert
Weesp;457;Weesp;19738;21-10-2020;3-11-2020;173;876,5;0;0;0;0;;WAAR;WAAR;Weesp
West Betuwe;1960;West Betuwe;51128;21-10-2020;3-11-2020;339;663;6;11,7;0;0;;WAAR;WAAR;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;21-10-2020;3-11-2020;123;636,5;1;5,2;1;5,2;;WAAR;WAAR;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;21-10-2020;3-11-2020;95;150;0;0;2;3,2;;WAAR;WAAR;Westerkwartier
Westerveld;1701;Westerveld;19460;21-10-2020;3-11-2020;40;205,5;0;0;1;5,1;;WAAR;WAAR;Westerveld
Westervoort;293;Westervoort;14971;21-10-2020;3-11-2020;76;507,6;0;0;0;0;;WAAR;WAAR;Westervoort
Westerwolde;1950;Westerwolde;25733;21-10-2020;3-11-2020;64;248,7;1;3,9;2;7,8;;WAAR;WAAR;Westerwolde
Westland;1783;Westland;110375;21-10-2020;3-11-2020;918;831,7;6;5,4;3;2,7;;WAAR;WAAR;Westland
Weststellingwerf;98;Weststellingwerf;25914;21-10-2020;3-11-2020;103;397,5;0;0;1;3,9;;WAAR;WAAR;Weststellingwerf
Westvoorne;614;Westvoorne;14731;21-10-2020;3-11-2020;77;522,7;0;0;0;0;;WAAR;WAAR;Westvoorne
Wierden;189;Wierden;24446;21-10-2020;3-11-2020;252;1030,8;0;0;0;0;;WAAR;WAAR;Wierden
Wijchen;296;Wijchen;41110;21-10-2020;3-11-2020;230;559,5;5;12,2;2;4,9;;WAAR;WAAR;Wijchen
Wijdemeren;1696;Wijdemeren;24358;21-10-2020;3-11-2020;129;529,6;0;0;0;0;;WAAR;WAAR;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;21-10-2020;3-11-2020;160;669,1;0;0;2;8,4;;WAAR;WAAR;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;21-10-2020;3-11-2020;176;610;1;3,5;0;0;;WAAR;WAAR;Winterswijk
Woensdrecht;873;Woensdrecht;21876;21-10-2020;3-11-2020;166;758,8;2;9,1;4;18,3;;WAAR;WAAR;Woensdrecht
Woerden;632;Woerden;52299;21-10-2020;3-11-2020;324;619,5;2;3,8;0;0;;WAAR;WAAR;Woerden
Wormerland;880;Wormerland;16270;21-10-2020;3-11-2020;108;663,8;0;0;1;6,1;;WAAR;WAAR;Wormerland
Woudenberg;351;Woudenberg;13362;21-10-2020;3-11-2020;100;748,4;0;0;0;0;;WAAR;WAAR;Woudenberg
Zaanstad;479;Zaanstad;156794;21-10-2020;3-11-2020;1335;851,4;10;6,4;11;7;;WAAR;WAAR;Zaanstad
Zaltbommel;297;Zaltbommel;28881;21-10-2020;3-11-2020;174;602,5;0;0;0;0;;WAAR;WAAR;Zaltbommel
Zandvoort;473;Zandvoort;17116;21-10-2020;3-11-2020;82;479,1;3;17,5;0;0;;WAAR;WAAR;Zandvoort
Zeewolde;50;Zeewolde;22653;21-10-2020;3-11-2020;89;392,9;0;0;0;0;;WAAR;WAAR;Zeewolde
Zeist;355;Zeist;64905;21-10-2020;3-11-2020;378;582,4;2;3,1;3;4,6;;WAAR;WAAR;Zeist
Zevenaar;299;Zevenaar;43750;21-10-2020;3-11-2020;214;489,1;3;6,9;1;2,3;;WAAR;WAAR;Zevenaar
Zoetermeer;637;Zoetermeer;125285;21-10-2020;3-11-2020;920;734,3;5;4;2;1,6;;WAAR;WAAR;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;21-10-2020;3-11-2020;62;720,5;0;0;0;0;;WAAR;WAAR;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;21-10-2020;3-11-2020;316;720,1;1;2,3;0;0;;WAAR;WAAR;Zuidplas
Zundert;879;Zundert;21829;21-10-2020;3-11-2020;152;696,3;3;13,7;0;0;;WAAR;WAAR;Zundert
Zutphen;301;Zutphen;47934;21-10-2020;3-11-2020;270;563,3;2;4,2;0;0;;WAAR;WAAR;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;21-10-2020;3-11-2020;137;603,9;0;0;0;0;;WAAR;WAAR;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;21-10-2020;3-11-2020;490;1095,3;1;2,2;2;4,5;;WAAR;WAAR;Zwijndrecht
Zwolle;193;Zwolle;128840;21-10-2020;3-11-2020;529;410,6;0;0;2;1,6;;WAAR;WAAR;Zwolle
