Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;
Oost Gelre;1586;Oost Gelre;29627;11-11-2020;2020-11-24;Oost Gelre;91;307,2;1;3,4;4;13,5;;WAAR
Oosterhout;826;Oosterhout;55982;11-11-2020;2020-11-24;Oosterhout;296;528,7;0;0;3;5,4;;WAAR
Ooststellingwerf;85;Ooststellingwerf;25469;11-11-2020;2020-11-24;Ooststellingwerf;86;337,7;1;3,9;0;0;;WAAR
Oostzaan;431;Oostzaan;9735;11-11-2020;2020-11-24;Oostzaan;27;277,3;0;0;1;10,3;;WAAR
Opmeer;432;Opmeer;11836;11-11-2020;2020-11-24;Opmeer;43;363,3;1;8,4;0;0;;WAAR
Opsterland;86;Opsterland;29733;11-11-2020;2020-11-24;Opsterland;39;131,2;2;6,7;0;0;;WAAR
Oss;828;Oss;91915;11-11-2020;2020-11-24;Oss;292;317,7;3;3,3;10;10,9;;WAAR
Oude IJsselstreek;1509;Oude IJsselstreek;39388;11-11-2020;2020-11-24;Oude IJsselstreek;148;375,7;0;0;3;7,6;;WAAR
Ouder-Amstel;437;Ouder-Amstel;14026;11-11-2020;2020-11-24;Ouder-Amstel;51;363,6;0;0;0;0;;WAAR
Oudewater;589;Oudewater;10230;11-11-2020;2020-11-24;Oudewater;42;410,6;1;9,8;1;9,8;;WAAR
Overbetuwe;1734;Overbetuwe;47906;11-11-2020;2020-11-24;Overbetuwe;145;302,7;0;0;1;2,1;;WAAR
Papendrecht;590;Papendrecht;32136;11-11-2020;2020-11-24;Papendrecht;131;407,6;0;0;3;9,3;;WAAR
Peel en Maas;1894;Peel en Maas;43425;11-11-2020;2020-11-24;Peel en Maas;120;276,3;1;2,3;0;0;;WAAR
Pekela;765;Pekela;12196;11-11-2020;2020-11-24;Pekela;7;57,4;0;0;0;0;;WAAR
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;11-11-2020;2020-11-24;Pijnacker-Nootdorp;209;377,9;0;0;1;1,8;;WAAR
Purmerend;439;Purmerend;81249;11-11-2020;2020-11-24;Purmerend;212;260,9;1;1,2;5;6,2;;WAAR
Putten;273;Putten;24112;11-11-2020;2020-11-24;Putten;112;464,5;0;0;0;0;;WAAR
Raalte;177;Raalte;37712;11-11-2020;2020-11-24;Raalte;100;265,2;1;2,7;0;0;;WAAR
Reimerswaal;703;Reimerswaal;22730;11-11-2020;2020-11-24;Reimerswaal;49;215,6;0;0;0;0;;WAAR
Renkum;274;Renkum;31419;11-11-2020;2020-11-24;Renkum;71;226;0;0;0;0;;WAAR
Renswoude;339;Renswoude;5444;11-11-2020;2020-11-24;Renswoude;11;202,1;0;0;0;0;;WAAR
Reusel-De Mierden;1667;Reusel-De Mierden;13112;11-11-2020;2020-11-24;Reusel-De Mierden;46;350,8;0;0;0;0;;WAAR
Rheden;275;Rheden;43761;11-11-2020;2020-11-24;Rheden;153;349,6;0;0;0;0;;WAAR
Rhenen;340;Rhenen;20119;11-11-2020;2020-11-24;Rhenen;87;432,4;0;0;0;0;;WAAR
Ridderkerk;597;Ridderkerk;46189;11-11-2020;2020-11-24;Ridderkerk;237;513,1;2;4,3;2;4,3;;WAAR
Rijssen-Holten;1742;Rijssen-Holten;38177;11-11-2020;2020-11-24;Rijssen-Holten;175;458,4;2;5,2;1;2,6;;WAAR
Rijswijk (ZH.);603;Rijswijk (ZH.);54450;11-11-2020;2020-11-24;Rijswijk (ZH.);216;396,7;6;11;3;5,5;;WAAR
Roerdalen;1669;Roerdalen;20574;11-11-2020;2020-11-24;Roerdalen;52;252,7;0;0;0;0;;WAAR
Roermond;957;Roermond;58260;11-11-2020;2020-11-24;Roermond;181;310,7;0;0;1;1,7;;WAAR
Roosendaal;1674;Roosendaal;77251;11-11-2020;2020-11-24;Roosendaal;432;559,2;6;7,8;3;3,9;;WAAR
Rotterdam;599;Rotterdam;651157;11-11-2020;2020-11-24;Rotterdam;3064;470,5;59;9,1;21;3,2;;WAAR
Rozendaal;277;Rozendaal;1704;11-11-2020;2020-11-24;Rozendaal;5;293,4;0;0;0;0;;WAAR
Rucphen;840;Rucphen;22878;11-11-2020;2020-11-24;Rucphen;95;415,2;2;8,7;0;0;;WAAR
Schagen;441;Schagen;46483;11-11-2020;2020-11-24;Schagen;194;417,4;0;0;1;2,2;;WAAR
Scherpenzeel;279;Scherpenzeel;9880;11-11-2020;2020-11-24;Scherpenzeel;34;344,1;0;0;0;0;;WAAR
Schiedam;606;Schiedam;78730;11-11-2020;2020-11-24;Schiedam;455;577,9;16;20,3;1;1,3;;WAAR
Schiermonnikoog;88;Schiermonnikoog;947;11-11-2020;2020-11-24;Schiermonnikoog;0;0;0;0;0;0;;WAAR
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;11-11-2020;2020-11-24;Schouwen-Duiveland;55;162,5;0;0;0;0;;WAAR
's-Gravenhage (gemeente);518;'s-Gravenhage (gemeente);545838;11-11-2020;2020-11-24;'s-Gravenhage (gemeente);1810;331,6;36;6,6;9;1,6;;WAAR
's-Hertogenbosch;796;'s-Hertogenbosch;155111;11-11-2020;2020-11-24;'s-Hertogenbosch;767;494,5;1;0,6;2;1,3;;WAAR
Simpelveld;965;Simpelveld;10555;11-11-2020;2020-11-24;Simpelveld;34;322,1;1;9,5;0;0;;WAAR
Sint Anthonis;1702;Sint Anthonis;11664;11-11-2020;2020-11-24;Sint Anthonis;31;265,8;0;0;0;0;;WAAR
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;11-11-2020;2020-11-24;Sint-Michielsgestel;111;380;1;3,4;1;3,4;;WAAR
Sittard-Geleen;1883;Sittard-Geleen;92429;11-11-2020;2020-11-24;Sittard-Geleen;247;267,2;3;3,2;1;1,1;;WAAR
Sliedrecht;610;Sliedrecht;25220;11-11-2020;2020-11-24;Sliedrecht;133;527,4;0;0;2;7,9;;WAAR
Sluis;1714;Sluis;23210;11-11-2020;2020-11-24;Sluis;116;499,8;1;4,3;1;4,3;;WAAR
Smallingerland;90;Smallingerland;56150;11-11-2020;2020-11-24;Smallingerland;62;110,4;1;1,8;1;1,8;;WAAR
Soest;342;Soest;46606;11-11-2020;2020-11-24;Soest;138;296,1;3;6,4;1;2,1;;WAAR
Someren;847;Someren;19368;11-11-2020;2020-11-24;Someren;105;542,1;1;5,2;1;5,2;;WAAR
Son en Breugel;848;Son en Breugel;17322;11-11-2020;2020-11-24;Son en Breugel;71;409,9;0;0;0;0;;WAAR
Stadskanaal;37;Stadskanaal;31686;11-11-2020;2020-11-24;Stadskanaal;129;407,1;0;0;0;0;;WAAR
Staphorst;180;Staphorst;17145;11-11-2020;2020-11-24;Staphorst;39;227,5;0;0;0;0;;WAAR
Stede Broec;532;Stede Broec;21726;11-11-2020;2020-11-24;Stede Broec;53;243,9;0;0;0;0;;WAAR
Steenbergen;851;Steenbergen;24416;11-11-2020;2020-11-24;Steenbergen;103;421,9;2;8,2;0;0;;WAAR
Steenwijkerland;1708;Steenwijkerland;44126;11-11-2020;2020-11-24;Steenwijkerland;90;204;0;0;0;0;;WAAR
Stein (L.);971;Stein (L.);25007;11-11-2020;2020-11-24;Stein (L.);45;179,9;0;0;0;0;;WAAR
Stichtse Vecht;1904;Stichtse Vecht;64931;11-11-2020;2020-11-24;Stichtse Vecht;296;455,9;1;1,5;3;4,6;;WAAR
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;11-11-2020;2020-11-24;Sudwest-Fryslan;343;381,2;1;1,1;9;10;;WAAR
Terneuzen;715;Terneuzen;54426;11-11-2020;2020-11-24;Terneuzen;261;479,6;0;0;0;0;;WAAR
Terschelling;93;Terschelling;4888;11-11-2020;2020-11-24;Terschelling;5;102,3;0;0;0;0;;WAAR
Texel;448;Texel;13575;11-11-2020;2020-11-24;Texel;7;51,6;0;0;0;0;;WAAR
Teylingen;1525;Teylingen;37440;11-11-2020;2020-11-24;Teylingen;166;443,4;3;8;2;5,3;;WAAR
Tholen;716;Tholen;25757;11-11-2020;2020-11-24;Tholen;163;632,8;1;3,9;0;0;;WAAR
Tiel;281;Tiel;42159;11-11-2020;2020-11-24;Tiel;143;339,2;3;7,1;6;14,2;;WAAR
Tilburg;855;Tilburg;219789;11-11-2020;2020-11-24;Tilburg;1081;491,8;6;2,7;13;5,9;;WAAR
Tubbergen;183;Tubbergen;21275;11-11-2020;2020-11-24;Tubbergen;140;658;0;0;0;0;;WAAR
Twenterand;1700;Twenterand;33743;11-11-2020;2020-11-24;Twenterand;195;577,9;2;5,9;2;5,9;;WAAR
Tynaarlo;1730;Tynaarlo;33887;11-11-2020;2020-11-24;Tynaarlo;35;103,3;0;0;6;17,7;;WAAR
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;11-11-2020;2020-11-24;Tytsjerksteradiel;42;131;0;0;0;0;;WAAR
Uden;856;Uden;42119;11-11-2020;2020-11-24;Uden;114;270,7;0;0;1;2,4;;WAAR
Uitgeest;450;Uitgeest;13666;11-11-2020;2020-11-24;Uitgeest;63;461;0;0;0;0;;WAAR
Uithoorn;451;Uithoorn;29478;11-11-2020;2020-11-24;Uithoorn;123;417,3;0;0;0;0;;WAAR
Urk;184;Urk;21031;11-11-2020;2020-11-24;Urk;429;2039,8;2;9,5;1;4,8;;WAAR
Utrecht (gemeente);344;Utrecht (gemeente);357597;11-11-2020;2020-11-24;Utrecht (gemeente);1323;370;16;4,5;6;1,7;;WAAR
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;11-11-2020;2020-11-24;Utrechtse Heuvelrug;127;256,2;0;0;0;0;;WAAR
Vaals;981;Vaals;10105;11-11-2020;2020-11-24;Vaals;13;128,6;0;0;0;0;;WAAR
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;11-11-2020;2020-11-24;Valkenburg aan de Geul;48;293,3;0;0;2;12,2;;WAAR
Valkenswaard;858;Valkenswaard;31193;11-11-2020;2020-11-24;Valkenswaard;97;311;0;0;1;3,2;;WAAR
Veendam;47;Veendam;27384;11-11-2020;2020-11-24;Veendam;34;124,2;0;0;0;0;;WAAR
Veenendaal;345;Veenendaal;66493;11-11-2020;2020-11-24;Veenendaal;372;559,5;4;6;0;0;;WAAR
Veere;717;Veere;21880;11-11-2020;2020-11-24;Veere;33;150,8;1;4,6;0;0;;WAAR
Veldhoven;861;Veldhoven;45466;11-11-2020;2020-11-24;Veldhoven;203;446,5;1;2,2;1;2,2;;WAAR
Velsen;453;Velsen;68648;11-11-2020;2020-11-24;Velsen;227;330,7;2;2,9;1;1,5;;WAAR
Venlo;983;Venlo;101802;11-11-2020;2020-11-24;Venlo;343;336,9;2;2;4;3,9;;WAAR
Venray;984;Venray;43614;11-11-2020;2020-11-24;Venray;133;304,9;0;0;0;0;;WAAR
Vijfheerenlanden;1961;Vijfheerenlanden;56811;11-11-2020;2020-11-24;Vijfheerenlanden;297;522,8;1;1,8;4;7;;WAAR
Vlaardingen;622;Vlaardingen;73397;11-11-2020;2020-11-24;Vlaardingen;380;517,7;3;4,1;5;6,8;;WAAR
Vlieland;96;Vlieland;1155;11-11-2020;2020-11-24;Vlieland;1;86,6;0;0;0;0;;WAAR
Vlissingen;718;Vlissingen;44360;11-11-2020;2020-11-24;Vlissingen;81;182,6;0;0;1;2,3;;WAAR
Voerendaal;986;Voerendaal;12475;11-11-2020;2020-11-24;Voerendaal;25;200,4;0;0;0;0;;WAAR
Voorschoten;626;Voorschoten;25596;11-11-2020;2020-11-24;Voorschoten;79;308,6;0;0;0;0;;WAAR
Voorst;285;Voorst;24552;11-11-2020;2020-11-24;Voorst;64;260,7;0;0;0;0;;WAAR
Vught;865;Vught;26558;11-11-2020;2020-11-24;Vught;105;395,4;1;3,8;3;11,3;;WAAR
Waadhoeke;1949;Waadhoeke;46090;11-11-2020;2020-11-24;Waadhoeke;84;182,3;1;2,2;2;4,3;;WAAR
Waalre;866;Waalre;17456;11-11-2020;2020-11-24;Waalre;52;297,9;0;0;0;0;;WAAR
Waalwijk;867;Waalwijk;48637;11-11-2020;2020-11-24;Waalwijk;234;481,1;4;8,2;2;4,1;;WAAR
Waddinxveen;627;Waddinxveen;29291;11-11-2020;2020-11-24;Waddinxveen;116;396;3;10,2;0;0;;WAAR
Wageningen;289;Wageningen;39664;11-11-2020;2020-11-24;Wageningen;155;390,8;3;7,6;4;10,1;;WAAR
Wassenaar;629;Wassenaar;26305;11-11-2020;2020-11-24;Wassenaar;57;216,7;4;15,2;1;3,8;;WAAR
Waterland;852;Waterland;17424;11-11-2020;2020-11-24;Waterland;60;344,4;0;0;1;5,7;;WAAR
Weert;988;Weert;50105;11-11-2020;2020-11-24;Weert;206;411,1;4;8;2;4;;WAAR
Weesp;457;Weesp;19738;11-11-2020;2020-11-24;Weesp;100;506,6;0;0;0;0;;WAAR
West Betuwe;1960;West Betuwe;51128;11-11-2020;2020-11-24;West Betuwe;242;473,3;5;9,8;3;5,9;;WAAR
West Maas en Waal;668;West Maas en Waal;19324;11-11-2020;2020-11-24;West Maas en Waal;49;253,6;0;0;0;0;;WAAR
Westerkwartier;1969;Westerkwartier;63329;11-11-2020;2020-11-24;Westerkwartier;61;96,3;0;0;1;1,6;;WAAR
Westerveld;1701;Westerveld;19460;11-11-2020;2020-11-24;Westerveld;48;246,7;1;5,1;0;0;;WAAR
Westervoort;293;Westervoort;14971;11-11-2020;2020-11-24;Westervoort;81;541;0;0;0;0;;WAAR
Westerwolde;1950;Westerwolde;25733;11-11-2020;2020-11-24;Westerwolde;74;287,6;0;0;0;0;;WAAR
Westland;1783;Westland;110375;11-11-2020;2020-11-24;Westland;698;632,4;6;5,4;10;9,1;;WAAR
Weststellingwerf;98;Weststellingwerf;25914;11-11-2020;2020-11-24;Weststellingwerf;52;200,7;1;3,9;0;0;;WAAR
Westvoorne;614;Westvoorne;14731;11-11-2020;2020-11-24;Westvoorne;26;176,5;0;0;0;0;;WAAR
Wierden;189;Wierden;24446;11-11-2020;2020-11-24;Wierden;166;679;0;0;3;12,3;;WAAR
Wijchen;296;Wijchen;41110;11-11-2020;2020-11-24;Wijchen;152;369,7;1;2,4;1;2,4;;WAAR
Wijdemeren;1696;Wijdemeren;24358;11-11-2020;2020-11-24;Wijdemeren;71;291,5;0;0;0;0;;WAAR
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;11-11-2020;2020-11-24;Wijk bij Duurstede;97;405,6;1;4,2;0;0;;WAAR
Winterswijk;294;Winterswijk;28854;11-11-2020;2020-11-24;Winterswijk;91;315,4;1;3,5;2;6,9;;WAAR
Woensdrecht;873;Woensdrecht;21876;11-11-2020;2020-11-24;Woensdrecht;95;434,3;0;0;1;4,6;;WAAR
Woerden;632;Woerden;52299;11-11-2020;2020-11-24;Woerden;305;583,2;4;7,6;0;0;;WAAR
Wormerland;880;Wormerland;16270;11-11-2020;2020-11-24;Wormerland;53;325,8;0;0;0;0;;WAAR
Woudenberg;351;Woudenberg;13362;11-11-2020;2020-11-24;Woudenberg;37;276,9;1;7,5;1;7,5;;WAAR
Zaanstad;479;Zaanstad;156794;11-11-2020;2020-11-24;Zaanstad;752;479,6;7;4,5;9;5,7;;WAAR
Zaltbommel;297;Zaltbommel;28881;11-11-2020;2020-11-24;Zaltbommel;214;741;0;0;0;0;;WAAR
Zandvoort;473;Zandvoort;17116;11-11-2020;2020-11-24;Zandvoort;42;245,4;0;0;0;0;;WAAR
Zeewolde;50;Zeewolde;22653;11-11-2020;2020-11-24;Zeewolde;44;194,2;1;4,4;0;0;;WAAR
Zeist;355;Zeist;64905;11-11-2020;2020-11-24;Zeist;203;312,8;1;1,5;1;1,5;;WAAR
Zevenaar;299;Zevenaar;43750;11-11-2020;2020-11-24;Zevenaar;113;258,3;0;0;0;0;;WAAR
Zoetermeer;637;Zoetermeer;125285;11-11-2020;2020-11-24;Zoetermeer;583;465,3;0;0;2;1,6;;WAAR
Zoeterwoude;638;Zoeterwoude;8605;11-11-2020;2020-11-24;Zoeterwoude;51;592,7;0;0;0;0;;WAAR
Zuidplas;1892;Zuidplas;43885;11-11-2020;2020-11-24;Zuidplas;208;474;3;6,8;0;0;;WAAR
Zundert;879;Zundert;21829;11-11-2020;2020-11-24;Zundert;66;302,4;1;4,6;2;9,2;;WAAR
Zutphen;301;Zutphen;47934;11-11-2020;2020-11-24;Zutphen;141;294,2;0;0;1;2,1;;WAAR
Zwartewaterland;1896;Zwartewaterland;22685;11-11-2020;2020-11-24;Zwartewaterland;49;216;0;0;2;8,8;;WAAR
Zwijndrecht;642;Zwijndrecht;44737;11-11-2020;2020-11-24;Zwijndrecht;211;471,6;0;0;5;11,2;;WAAR
Zwolle;193;Zwolle;128840;11-11-2020;2020-11-24;Zwolle;255;197,9;1;0,8;6;4,7;;WAAR
