Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Rijssen-Holten;1742;Rijssen-Holten;38177;2020-11-25;2020-12-08;221;578,9;2;5,2;0;0;Rijssen-Holten
Rijswijk;603;Rijswijk;54450;2020-11-25;2020-12-08;178;326,9;1;1,8;0;0;Rijswijk
Roerdalen;1669;Roerdalen;20574;2020-11-25;2020-12-08;90;437,4;0;0;0;0;Roerdalen
Roermond;957;Roermond;58260;2020-11-25;2020-12-08;284;487,5;0;0;1;1,7;Roermond
Roosendaal;1674;Roosendaal;77251;2020-11-25;2020-12-08;323;418,1;3;3,9;2;2,6;Roosendaal
Rotterdam;599;Rotterdam;651157;2020-11-25;2020-12-08;2592;398,1;29;4,5;10;1,5;Rotterdam
Rozendaal;277;Rozendaal;1704;2020-11-25;2020-12-08;13;762,9;0;0;0;0;Rozendaal
Rucphen;840;Rucphen;22878;2020-11-25;2020-12-08;86;375,9;3;13,1;1;4,4;Rucphen
Schagen;441;Schagen;46483;2020-11-25;2020-12-08;197;423,8;0;0;1;2,2;Schagen
Scherpenzeel;279;Scherpenzeel;9880;2020-11-25;2020-12-08;94;951,4;0;0;1;10,1;Scherpenzeel
Schiedam;606;Schiedam;78730;2020-11-25;2020-12-08;448;569;11;14;2;2,5;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;2020-11-25;2020-12-08;1;105,6;0;0;0;0;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;2020-11-25;2020-12-08;46;135,9;0;0;0;0;Schouwen-Duiveland
's-Gravenhage;518;'s-Gravenhage;545838;2020-11-25;2020-12-08;1601;293,3;25;4,6;3;0,5;'s-Gravenhage
's-Hertogenbosch;796;'s-Hertogenbosch;155111;2020-11-25;2020-12-08;716;461,6;6;3,9;5;3,2;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;2020-11-25;2020-12-08;55;521,1;1;9,5;0;0;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;2020-11-25;2020-12-08;56;480,1;0;0;0;0;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;2020-11-25;2020-12-08;140;479,3;0;0;0;0;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;2020-11-25;2020-12-08;372;402,5;3;3,2;3;3,2;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;2020-11-25;2020-12-08;196;777,2;1;4;3;11,9;Sliedrecht
Sluis;1714;Sluis;23210;2020-11-25;2020-12-08;99;426,5;2;8,6;1;4,3;Sluis
Smallingerland;90;Smallingerland;56150;2020-11-25;2020-12-08;91;162,1;1;1,8;3;5,3;Smallingerland
Soest;342;Soest;46606;2020-11-25;2020-12-08;172;369,1;2;4,3;1;2,1;Soest
Someren;847;Someren;19368;2020-11-25;2020-12-08;79;407,9;0;0;0;0;Someren
Son en Breugel;848;Son en Breugel;17322;2020-11-25;2020-12-08;59;340,6;1;5,8;1;5,8;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;2020-11-25;2020-12-08;137;432,4;1;3,2;0;0;Stadskanaal
Staphorst;180;Staphorst;17145;2020-11-25;2020-12-08;96;559,9;0;0;0;0;Staphorst
Stede Broec;532;Stede Broec;21726;2020-11-25;2020-12-08;70;322,2;0;0;0;0;Stede Broec
Steenbergen;851;Steenbergen;24416;2020-11-25;2020-12-08;54;221,2;0;0;0;0;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;2020-11-25;2020-12-08;119;269,7;0;0;0;0;Steenwijkerland
Stein;971;Stein;25007;2020-11-25;2020-12-08;131;523,9;1;4;0;0;Stein
Stichtse Vecht;1904;Stichtse Vecht;64931;2020-11-25;2020-12-08;325;500,5;4;6,2;9;13,9;Stichtse Vecht
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;2020-11-25;2020-12-08;415;461,2;0;0;3;3,3;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;2020-11-25;2020-12-08;215;395;1;1,8;0;0;Terneuzen
Terschelling;93;Terschelling;4888;2020-11-25;2020-12-08;2;40,9;0;0;0;0;Terschelling
Texel;448;Texel;13575;2020-11-25;2020-12-08;10;73,7;0;0;0;0;Texel
Teylingen;1525;Teylingen;37440;2020-11-25;2020-12-08;172;459,4;0;0;0;0;Teylingen
Tholen;716;Tholen;25757;2020-11-25;2020-12-08;72;279,5;1;3,9;0;0;Tholen
Tiel;281;Tiel;42159;2020-11-25;2020-12-08;164;389;4;9,5;2;4,7;Tiel
Tilburg;855;Tilburg;219789;2020-11-25;2020-12-08;1239;563,7;7;3,2;6;2,7;Tilburg
Tubbergen;183;Tubbergen;21275;2020-11-25;2020-12-08;109;512,3;1;4,7;1;4,7;Tubbergen
Twenterand;1700;Twenterand;33743;2020-11-25;2020-12-08;138;409;1;3;0;0;Twenterand
Tynaarlo;1730;Tynaarlo;33887;2020-11-25;2020-12-08;34;100,3;1;3;1;3;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;2020-11-25;2020-12-08;45;140,4;1;3,1;0;0;Tytsjerksteradiel
Uden;856;Uden;42119;2020-11-25;2020-12-08;212;503,3;0;0;1;2,4;Uden
Uitgeest;450;Uitgeest;13666;2020-11-25;2020-12-08;71;519,5;0;0;0;0;Uitgeest
Uithoorn;451;Uithoorn;29478;2020-11-25;2020-12-08;93;315,5;0;0;1;3,4;Uithoorn
Urk;184;Urk;21031;2020-11-25;2020-12-08;357;1697,5;5;23,8;0;0;Urk
Utrecht;344;Utrecht;357597;2020-11-25;2020-12-08;1191;333,1;16;4,5;11;3,1;Utrecht
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;2020-11-25;2020-12-08;189;381,2;5;10,1;0;0;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;2020-11-25;2020-12-08;66;653,1;1;9,9;0;0;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;2020-11-25;2020-12-08;77;470,5;1;6,1;0;0;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;2020-11-25;2020-12-08;150;480,9;0;0;0;0;Valkenswaard
Veendam;47;Veendam;27384;2020-11-25;2020-12-08;83;303,1;0;0;0;0;Veendam
Veenendaal;345;Veenendaal;66493;2020-11-25;2020-12-08;596;896,3;3;4,5;11;16,5;Veenendaal
Veere;717;Veere;21880;2020-11-25;2020-12-08;20;91,4;0;0;0;0;Veere
Veldhoven;861;Veldhoven;45466;2020-11-25;2020-12-08;170;373,9;1;2,2;4;8,8;Veldhoven
Velsen;453;Velsen;68648;2020-11-25;2020-12-08;289;421;4;5,8;6;8,7;Velsen
Venlo;983;Venlo;101802;2020-11-25;2020-12-08;363;356,6;1;1;8;7,9;Venlo
Venray;984;Venray;43614;2020-11-25;2020-12-08;196;449,4;2;4,6;0;0;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;2020-11-25;2020-12-08;280;492,9;1;1,8;2;3,5;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;2020-11-25;2020-12-08;359;489,1;6;8,2;1;1,4;Vlaardingen
Vlieland;96;Vlieland;1155;2020-11-25;2020-12-08;0;0;0;0;0;0;Vlieland
Vlissingen;718;Vlissingen;44360;2020-11-25;2020-12-08;66;148,8;3;6,8;0;0;Vlissingen
Voerendaal;986;Voerendaal;12475;2020-11-25;2020-12-08;25;200,4;0;0;0;0;Voerendaal
Voorschoten;626;Voorschoten;25596;2020-11-25;2020-12-08;80;312,5;0;0;2;7,8;Voorschoten
Voorst;285;Voorst;24552;2020-11-25;2020-12-08;69;281;0;0;0;0;Voorst
Vught;865;Vught;26558;2020-11-25;2020-12-08;263;990,3;2;7,5;2;7,5;Vught
Waadhoeke;1949;Waadhoeke;46090;2020-11-25;2020-12-08;60;130,2;0;0;0;0;Waadhoeke
Waalre;866;Waalre;17456;2020-11-25;2020-12-08;57;326,5;0;0;0;0;Waalre
Waalwijk;867;Waalwijk;48637;2020-11-25;2020-12-08;252;518,1;0;0;6;12,3;Waalwijk
Waddinxveen;627;Waddinxveen;29291;2020-11-25;2020-12-08;167;570,1;5;17,1;2;6,8;Waddinxveen
Wageningen;289;Wageningen;39664;2020-11-25;2020-12-08;174;438,7;0;0;3;7,6;Wageningen
Wassenaar;629;Wassenaar;26305;2020-11-25;2020-12-08;120;456,2;1;3,8;1;3,8;Wassenaar
Waterland;852;Waterland;17424;2020-11-25;2020-12-08;70;401,7;0;0;0;0;Waterland
Weert;988;Weert;50105;2020-11-25;2020-12-08;286;570,8;1;2;5;10;Weert
Weesp;457;Weesp;19738;2020-11-25;2020-12-08;100;506,6;0;0;0;0;Weesp
West Betuwe;1960;West Betuwe;51128;2020-11-25;2020-12-08;417;815,6;1;2;4;7,8;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;2020-11-25;2020-12-08;50;258,7;0;0;0;0;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;2020-11-25;2020-12-08;139;219,5;1;1,6;0;0;Westerkwartier
Westerveld;1701;Westerveld;19460;2020-11-25;2020-12-08;18;92,5;0;0;0;0;Westerveld
Westervoort;293;Westervoort;14971;2020-11-25;2020-12-08;97;647,9;1;6,7;0;0;Westervoort
Westerwolde;1950;Westerwolde;25733;2020-11-25;2020-12-08;95;369,2;1;3,9;0;0;Westerwolde
Westland;1783;Westland;110375;2020-11-25;2020-12-08;724;655,9;4;3,6;4;3,6;Westland
Weststellingwerf;98;Weststellingwerf;25914;2020-11-25;2020-12-08;48;185,2;0;0;1;3,9;Weststellingwerf
Westvoorne;614;Westvoorne;14731;2020-11-25;2020-12-08;28;190,1;0;0;0;0;Westvoorne
Wierden;189;Wierden;24446;2020-11-25;2020-12-08;207;846,8;3;12,3;4;16,4;Wierden
Wijchen;296;Wijchen;41110;2020-11-25;2020-12-08;168;408,7;1;2,4;2;4,9;Wijchen
Wijdemeren;1696;Wijdemeren;24358;2020-11-25;2020-12-08;77;316,1;0;0;0;0;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;2020-11-25;2020-12-08;74;309,4;0;0;1;4,2;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;2020-11-25;2020-12-08;117;405,5;1;3,5;0;0;Winterswijk
Woensdrecht;873;Woensdrecht;21876;2020-11-25;2020-12-08;49;224;0;0;0;0;Woensdrecht
Woerden;632;Woerden;52299;2020-11-25;2020-12-08;279;533,5;2;3,8;0;0;Woerden
Wormerland;880;Wormerland;16270;2020-11-25;2020-12-08;71;436,4;0;0;0;0;Wormerland
Woudenberg;351;Woudenberg;13362;2020-11-25;2020-12-08;127;950,5;0;0;0;0;Woudenberg
Zaanstad;479;Zaanstad;156794;2020-11-25;2020-12-08;812;517,9;7;4,5;8;5,1;Zaanstad
Zaltbommel;297;Zaltbommel;28881;2020-11-25;2020-12-08;177;612,9;1;3,5;0;0;Zaltbommel
Zandvoort;473;Zandvoort;17116;2020-11-25;2020-12-08;60;350,5;0;0;0;0;Zandvoort
Zeewolde;50;Zeewolde;22653;2020-11-25;2020-12-08;65;286,9;1;4,4;1;4,4;Zeewolde
Zeist;355;Zeist;64905;2020-11-25;2020-12-08;245;377,5;1;1,5;2;3,1;Zeist
Zevenaar;299;Zevenaar;43750;2020-11-25;2020-12-08;135;308,6;1;2,3;1;2,3;Zevenaar
Zoetermeer;637;Zoetermeer;125285;2020-11-25;2020-12-08;620;494,9;5;4;1;0,8;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;2020-11-25;2020-12-08;29;337;0;0;0;0;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;2020-11-25;2020-12-08;167;380,5;2;4,6;2;4,6;Zuidplas
Zundert;879;Zundert;21829;2020-11-25;2020-12-08;61;279,4;0;0;0;0;Zundert
Zutphen;301;Zutphen;47934;2020-11-25;2020-12-08;140;292,1;1;2,1;0;0;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;2020-11-25;2020-12-08;107;471,7;1;4,4;0;0;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;2020-11-25;2020-12-08;182;406,8;1;2,2;0;0;Zwijndrecht
Zwolle;193;Zwolle;128840;2020-11-25;2020-12-08;316;245,3;0;0;2;1,6;Zwolle
