Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Haaksbergen;21;86,4;11;45,2;1;4,1;Haaksbergen;11;45,2;6;24,7;0;0;Haaksbergen;10;41,2;5;20,5;1;4,1
Haaren;15;104,4;4;27,8;2;13,9;Haaren;14;97,4;6;41,8;4;27,8;Haaren;1;7;-2;-14;-2;-13,9
Haarlem;132;81;31;19;23;14,1;Haarlem;100;61,4;27;16,6;14;8,6;Haarlem;32;19,6;4;2,4;9;5,5
Haarlemmermeer;106;67,9;31;19,9;10;6,4;Haarlemmermeer;69;44,2;34;21,8;5;3,2;Haarlemmermeer;37;23,7;-3;-1,9;5;3,2
Halderberge;25;82,6;2;6,6;3;9,9;Halderberge;14;46,2;8;26,4;3;9,9;Halderberge;11;36,4;-6;-19,8;0;0
Hardenberg;68;111,6;13;21,3;5;8,2;Hardenberg;26;42,7;9;14,8;0;0;Hardenberg;42;68,9;4;6,5;5;8,2
Harderwijk;37;76,4;14;28,9;5;10,3;Harderwijk;25;51,6;13;26,9;1;2,1;Harderwijk;12;24,8;1;2;4;8,2
Hardinxveld-Giessendam;9;49,2;1;5,5;2;10,9;Hardinxveld-Giessendam;4;21,9;1;5,5;1;5,5;Hardinxveld-Giessendam;5;27,3;0;0;1;5,4
Harlingen;3;19,1;1;6,4;0;0;Harlingen;3;19,1;2;12,7;0;0;Harlingen;0;0;-1;-6,3;0;0
Hattem;21;172;9;73,7;3;24,6;Hattem;17;139,2;10;81,9;1;8,2;Hattem;4;32,8;-1;-8,2;2;16,4
Heemskerk;52;132,7;16;40,8;7;17,9;Heemskerk;35;89,3;19;48,5;3;7,7;Heemskerk;17;43,4;-3;-7,7;4;10,2
Heemstede;63;231,3;5;18,4;23;84,5;Heemstede;41;150,5;9;33;10;36,7;Heemstede;22;80,8;-4;-14,6;13;47,8
Heerde;46;247,5;18;96,8;12;64,6;Heerde;47;252,8;31;166,8;8;43;Heerde;-1;-5,3;-13;-70;4;21,6
Heerenveen;31;61,4;7;13,9;7;13,9;Heerenveen;12;23,8;8;15,8;1;2;Heerenveen;19;37,6;-1;-1,9;6;11,9
Heerhugowaard;39;67,7;11;19,1;2;3,5;Heerhugowaard;33;57,3;21;36,5;4;6,9;Heerhugowaard;6;10,4;-10;-17,4;-2;-3,4
Heerlen;122;140,1;49;56,3;19;21,8;Heerlen;89;102,2;57;65,5;17;19,5;Heerlen;33;37,9;-8;-9,2;2;2,3
Heeze-Leende;24;148,6;7;43,3;2;12,4;Heeze-Leende;15;92,9;4;24,8;0;0;Heeze-Leende;9;55,7;3;18,5;2;12,4
Heiloo;15;62,6;7;29,2;2;8,3;Heiloo;14;58,4;7;29,2;4;16,7;Heiloo;1;4,2;0;0;-2;-8,4
Hellendoorn;30;83,5;5;13,9;2;5,6;Hellendoorn;19;52,9;3;8,4;0;0;Hellendoorn;11;30,6;2;5,5;2;5,6
Hellevoetsluis;30;74,7;9;22,4;0;0;Hellevoetsluis;19;47,3;6;14,9;0;0;Hellevoetsluis;11;27,4;3;7,5;0;0
Helmond;104;112,5;49;53;20;21,6;Helmond;102;110,4;40;43,3;14;15,1;Helmond;2;2,1;9;9,7;6;6,5
Hendrik-Ido-Ambacht;13;41,7;2;6,4;1;3,2;Hendrik-Ido-Ambacht;6;19,2;3;9,6;0;0;Hendrik-Ido-Ambacht;7;22,5;-1;-3,2;1;3,2
Hengelo (O.);53;65,3;12;14,8;7;8,6;Hengelo (O.);41;50,5;8;9,9;3;3,7;Hengelo (O.);12;14,8;4;4,9;4;4,9
Het Hogeland;14;29,3;4;8,4;1;2,1;Het Hogeland;10;20,9;4;8,4;0;0;Het Hogeland;4;8,4;0;0;1;2,1
Heumen;23;139,8;12;72,9;3;18,2;Heumen;18;109,4;10;60,8;2;12,2;Heumen;5;30,4;2;12,1;1;6
Heusden;36;80,6;20;44,8;5;11,2;Heusden;50;111,9;29;64,9;5;11,2;Heusden;-14;-31,3;-9;-20,1;0;0
Hillegom;12;54;4;18;0;0;Hillegom;8;36;4;18;0;0;Hillegom;4;18;0;0;0;0
Hilvarenbeek;10;64,4;3;19,3;2;12,9;Hilvarenbeek;13;83,8;6;38,7;2;12,9;Hilvarenbeek;-3;-19,4;-3;-19,4;0;0
Hilversum;24;26,4;12;13,2;4;4,4;Hilversum;34;37,4;15;16,5;3;3,3;Hilversum;-10;-11;-3;-3,3;1;1,1
Hoeksche Waard;70;80,1;32;36,6;4;4,6;Hoeksche Waard;70;80,1;40;45,8;3;3,4;Hoeksche Waard;0;0;-8;-9,2;1;1,2
Hof van Twente;26;74,2;10;28,6;2;5,7;Hof van Twente;16;45,7;8;22,8;0;0;Hof van Twente;10;28,5;2;5,8;2;5,7
Hollands Kroon;32;66,1;15;31;4;8,3;Hollands Kroon;29;59,9;19;39,2;3;6,2;Hollands Kroon;3;6,2;-4;-8,2;1;2,1
Hoogeveen;22;39,5;8;14,4;0;0;Hoogeveen;11;19,7;7;12,6;0;0;Hoogeveen;11;19,8;1;1,8;0;0
Hoorn;37;50,5;15;20,5;7;9,6;Hoorn;28;38,2;17;23,2;6;8,2;Hoorn;9;12,3;-2;-2,7;1;1,4
Horst aan de Maas;41;96,6;20;47,1;12;28,3;Horst aan de Maas;37;87,2;28;66;11;25,9;Horst aan de Maas;4;9,4;-8;-18,9;1;2,4
Houten;35;69,8;14;27,9;7;14;Houten;43;85,7;15;29,9;1;2;Houten;-8;-15,9;-1;-2;6;12
Huizen;23;55,7;10;24,2;3;7,3;Huizen;23;55,7;13;31,5;2;4,8;Huizen;0;0;-3;-7,3;1;2,5
Hulst;19;69;5;18,1;5;18,1;Hulst;6;21,8;4;14,5;1;3,6;Hulst;13;47,2;1;3,6;4;14,5
IJsselstein;35;102,6;13;38,1;16;46,9;IJsselstein;33;96,7;21;61,6;8;23,5;IJsselstein;2;5,9;-8;-23,5;8;23,4
Kaag en Braassem;9;33;2;7,3;1;3,7;Kaag en Braassem;8;29,3;5;18,3;0;0;Kaag en Braassem;1;3,7;-3;-11;1;3,7
Kampen;105;193,3;30;55,2;15;27,6;Kampen;77;141,8;36;66,3;7;12,9;Kampen;28;51,5;-6;-11,1;8;14,7
Kapelle;9;70,9;0;0;0;0;Kapelle;1;7,9;0;0;0;0;Kapelle;8;63;0;0;0;0
Katwijk;47;71,5;18;27,4;5;7,6;Katwijk;28;42,6;12;18,3;2;3;Katwijk;19;28,9;6;9,1;3;4,6
Kerkrade;61;133,3;26;56,8;13;28,4;Kerkrade;41;89,6;28;61,2;10;21,9;Kerkrade;20;43,7;-2;-4,4;3;6,5
Koggenland;13;57,1;3;13,2;4;17,6;Koggenland;10;44;5;22;1;4,4;Koggenland;3;13,1;-2;-8,8;3;13,2
Krimpen aan den IJssel;25;84,7;6;20,3;4;13,5;Krimpen aan den IJssel;18;61;4;13,5;3;10,2;Krimpen aan den IJssel;7;23,7;2;6,8;1;3,3
Krimpenerwaard;55;97,7;26;46,2;15;26,6;Krimpenerwaard;49;87;28;49,7;8;14,2;Krimpenerwaard;6;10,7;-2;-3,5;7;12,4
Laarbeek;40;177,6;17;75,5;16;71;Laarbeek;48;213,1;21;93,2;12;53,3;Laarbeek;-8;-35,5;-4;-17,7;4;17,7
Landerd;42;267;17;108,1;7;44,5;Landerd;40;254,3;17;108,1;7;44,5;Landerd;2;12,7;0;0;0;0
Landgraaf;54;144,2;22;58,8;6;16;Landgraaf;34;90,8;23;61,4;3;8;Landgraaf;20;53,4;-1;-2,6;3;8
Landsmeer;10;87;0;0;2;17,4;Landsmeer;6;52,2;3;26,1;2;17,4;Landsmeer;4;34,8;-3;-26,1;0;0
Langedijk;16;56,8;8;28,4;2;7,1;Langedijk;14;49,7;10;35,5;1;3,6;Langedijk;2;7,1;-2;-7,1;1;3,5
Lansingerland;70;112,2;20;32,1;12;19,2;Lansingerland;49;78,5;18;28,9;2;3,2;Lansingerland;21;33,7;2;3,2;10;16
Laren (NH.);13;115,2;3;26,6;1;8,9;Laren (NH.);12;106,4;5;44,3;1;8,9;Laren (NH.);1;8,8;-2;-17,7;0;0
